row_label_raw,row_label_full,"Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Năm nay > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Đơn vị tính: VND > Năm trước > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","numeric__Năm nay > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","numeric__Đơn vị tính: VND > Năm trước > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác"
Thu hồi tiền đặt cọc mua cổ phần,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu hồi tiền đặt cọc mua cổ phần,Thu hồi tiền đặt cọc mua cổ phần,-,232.200.000.000,,232200000000.0
Tiền thu do nhận đặt cọc để chuyển nhượng các khoản đầu tư vào công ty con,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhận đặt cọc để chuyển nhượng các khoản đầu tư vào công ty con,Tiền thu do nhận đặt cọc để chuyển nhượng các khoản đầu tư vào công ty con,648.000.000.000,474.312.091.675,648000000000.0,474312091675.0
Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,655.302.896.515,800.000.000.000,655302896515.0,800000000000.0
Tổng cộng,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,4.450.260.724.277,2.592.111.751.675,4450260724277.0,2592111751675.0
"Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu","Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu","Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu","Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu","Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu",,
Nhận góp vốn của cổ đông không kiểm soát,"Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu > Nhận góp vốn của cổ đông không kiểm soát",Nhận góp vốn của cổ đông không kiểm soát,7.544.319.623.168,2.948.518.325.753,7544319623168.0,2948518325753.0
Tiền thu từ tái phát hành cổ phiếu quỹ,"Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu > Tiền thu từ tái phát hành cổ phiếu quỹ",Tiền thu từ tái phát hành cổ phiếu quỹ,-,1.411.009.772.856,,1411009772856.0
Tổng cộng,"Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu > Tổng cộng",Tổng cộng,7.544.319.623.168,4.359.528.098.609,7544319623168.0,4359528098609.0
"Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu của công ty mẹ","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu > Cổ tức, lợi nhuận đã trả cho chủ sở hữu của công ty mẹ","Cổ tức, lợi nhuận đã trả cho chủ sở hữu của công ty mẹ",-,(1.844.966.743.620),,-1844966743620.0
"Cổ tức, lợi nhuận đã trả cho cổ đông không kiểm soát","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu > Cổ tức, lợi nhuận đã trả cho cổ đông không kiểm soát","Cổ tức, lợi nhuận đã trả cho cổ đông không kiểm soát",(974.185.674.300),(521.509.281.485),-974185674300.0,-521509281485.0
Tổng cộng,"Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu > Tổng cộng",Tổng cộng,(974.185.674.300),(2.366.476.025.105),-974185674300.0,-2366476025105.0
