row_label_raw,row_label_full,col_0,Giá gốc,Dự phòng,Số cuối nămGiá trị có thể thu hồi (*),Giá gốc_1,Dự phòng_1,Số đầu nămGiá trị có thể thu hồi (*),numeric__Giá gốc,numeric__Dự phòng,numeric__Số cuối nămGiá trị có thể thu hồi (*),numeric__Giá gốc_1,numeric__Dự phòng_1,numeric__Số đầu nămGiá trị có thể thu hồi (*)
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,,,,,,
- Từ 3 năm trở lên,Các đối tượng khác > - Từ 3 năm trở lên,- Từ 3 năm trở lên,85.365.344.288,85.365.344.288,-,85.365.344.288,85.365.344.288,-,85365344288.0,85365344288.0,,85365344288.0,85365344288.0,
b) Trà trước cho người bán ngắn hạn,Các đối tượng khác > b) Trà trước cho người bán ngắn hạn,b) Trà trước cho người bán ngắn hạn,-,-,-,166.434.013.615,80.501.867.926,85.932.145.689,,,,166434013615.0,80501867926.0,85932145689.0
Tổng Công ty Thâm dò Khal thác Dầu khí,Các đối tượng khác > Tổng Công ty Thâm dò Khal thác Dầu khí,Tổng Công ty Thâm dò Khal thác Dầu khí,-,-,-,166.434.013.615,80.501.867.926,85.932.145.689,,,,166434013615.0,80501867926.0,85932145689.0
- Từ 2 năm đến dưới 3 năm,Các đối tượng khác > - Từ 2 năm đến dưới 3 năm,- Từ 2 năm đến dưới 3 năm,-,-,-,40.098.227.943,28.068.759.560,12.029.468.383,,,,40098227943.0,28068759560.0,12029468383.0
- Từ 1 năm đến dưới 2 năm,Các đối tượng khác > - Từ 1 năm đến dưới 2 năm,- Từ 1 năm đến dưới 2 năm,-,-,-,72.661.863.320,36.330.931.660,36.330.931.660,,,,72661863320.0,36330931660.0,36330931660.0
- Từ 6 tháng đến dưới 1 năm,Các đối tượng khác > - Từ 6 tháng đến dưới 1 năm,- Từ 6 tháng đến dưới 1 năm,-,-,-,53.673.922.352,16.102.176.706,37.571.745.646,,,,53673922352.0,16102176706.0,37571745646.0
c) Phải thu ngắn hạn khác,Các đối tượng khác > c) Phải thu ngắn hạn khác,c) Phải thu ngắn hạn khác,446.212.500.000,446.212.500.000,-,453.337.857.804,453.337.857.804,-,446212500000.0,446212500000.0,,453337857804.0,453337857804.0,
Công ty Cố phân Sản xuất Ông thép Dầu khí,Các đối tượng khác > Công ty Cố phân Sản xuất Ông thép Dầu khí,Công ty Cố phân Sản xuất Ông thép Dầu khí,390.000.000.000,390.000.000.000,-,397.125.357.804,397.125.357.804,-,390000000000.0,390000000000.0,,397125357804.0,397125357804.0,
Việt Nam,Việt Nam,Việt Nam,Việt Nam,Việt Nam,Việt Nam,Việt Nam,Việt Nam,Việt Nam,,,,,,
- Từ 3 năm trở lên,Việt Nam > - Từ 3 năm trở lên,- Từ 3 năm trở lên,390.000.000.000,390.000.000.000,-,397.125.357.804,397.125.357.804,-,390000000000.0,390000000000.0,,397125357804.0,397125357804.0,
Công ty Cố phân phát triển Đô thị Dầu khí,Việt Nam > Công ty Cố phân phát triển Đô thị Dầu khí,Công ty Cố phân phát triển Đô thị Dầu khí,56.212.500.000,56.212.500.000,-,56.212.500.000,56.212.500.000,-,56212500000.0,56212500000.0,,56212500000.0,56212500000.0,
- Từ 3 năm trở lên,Việt Nam > - Từ 3 năm trở lên,- Từ 3 năm trở lên,56.212.500.000,56.212.500.000,-,50.000.000.000,50.000.000.000,-,56212500000.0,56212500000.0,,50000000000.0,50000000000.0,
- Từ 2 năm đến dưới 3 năm,Việt Nam > - Từ 2 năm đến dưới 3 năm,- Từ 2 năm đến dưới 3 năm,-,-,-,6.212.500.000,6.212.500.000,-,,,,6212500000.0,6212500000.0,
,,,3.694.238.353.055,2.600.329.599.920,1.093.908.753.135,5.952.212.488.566,3.060.951.520.113,2.891.260.968.453,3694238353055.0,2600329599920.0,1093908753135.0,5952212488566.0,3060951520113.0,2891260968453.0
