row_label_raw,row_label_full,TÀI SẢN CÓ ĐỊNH HỮU HÌNH,TÀI SẢN CÓ ĐỊNH HỮU HÌNH_1,TÀI SẢN CÓ ĐỊNH HỮU HÌNH_2,TÀI SẢN CÓ ĐỊNH HỮU HÌNH_3,TÀI SẢN CÓ ĐỊNH HỮU HÌNH_4,TÀI SẢN CÓ ĐỊNH HỮU HÌNH_5,TÀI SẢN CÓ ĐỊNH HỮU HÌNH_6,numeric__TÀI SẢN CÓ ĐỊNH HỮU HÌNH_1,numeric__TÀI SẢN CÓ ĐỊNH HỮU HÌNH_2,numeric__TÀI SẢN CÓ ĐỊNH HỮU HÌNH_3,numeric__TÀI SẢN CÓ ĐỊNH HỮU HÌNH_4,numeric__TÀI SẢN CÓ ĐỊNH HỮU HÌNH_5,numeric__TÀI SẢN CÓ ĐỊNH HỮU HÌNH_6
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,27.306.471.406,57.098.213.953,7.861.445.494,6.228.849.077,-,98.494.979.930,27306471406.0,57098213953.0,7861445494.0,6228849077.0,,98494979930.0
- Khấu hao tài sản hình thành từ dự án KHCN,Giá trị hao mòn lũy kế > - Khấu hao tài sản hình thành từ dự án KHCN,- Khấu hao tài sản hình thành từ dự án KHCN,-,2.896.733.171,-,79.365.000,-,2.976.098.171,,2896733171.0,,79365000.0,,2976098171.0
- Tăng do chuyển đổi báo cáo,Giá trị hao mòn lũy kế > - Tăng do chuyển đổi báo cáo,- Tăng do chuyển đổi báo cáo,-,-,16.366.441,891.907,-,17.258.348,,,16366441.0,891907.0,,17258348.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(162.094.174),(1.938.821.621),(188.020.423),-,-,(2.288.936.218),-162094174.0,-1938821621.0,-188020423.0,,,-2288936218.0
- Giảm do chuyển công ty con thành Công ty liên kết,Giá trị hao mòn lũy kế > - Giảm do chuyển công ty con thành Công ty liên kết,- Giảm do chuyển công ty con thành Công ty liên kết,(36.820.986.319),(92.574.887.850),(12.742.807.849),(4.254.868.439),(80.400.000),(146.473.950.457),-36820986319.0,-92574887850.0,-12742807849.0,-4254868439.0,-80400000.0,-146473950457.0
- Phân loại lại,Giá trị hao mòn lũy kế > - Phân loại lại,- Phân loại lại,(11.502.187),950.345.734,(875.960.811),(75.051.589),-,(12.168.853),-11502187.0,950345734.0,-875960811.0,-75051589.0,,-12168853.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,248.448.543.538,460.546.486.295,59.367.228.702,22.021.529.635,-,790.383.788.170,248448543538.0,460546486295.0,59367228702.0,22021529635.0,,790383788170.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,318.765.925.024,317.267.577.719,34.861.221.896,4.215.061.325,-,675.109.785.964,318765925024.0,317267577719.0,34861221896.0,4215061325.0,,675109785964.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,506.136.132.986,303.322.992.362,34.928.403.232,80.752.907.597,-,925.140.436.177,506136132986.0,303322992362.0,34928403232.0,80752907597.0,,925140436177.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
"- Giá trị còn lại cuối năm của tài sản cố định hữu hình đã dùng thế chấp, cảm cố đảm bảo các khoản vay:","Trong đó: > - Giá trị còn lại cuối năm của tài sản cố định hữu hình đã dùng thế chấp, cảm cố đảm bảo các khoản vay:","- Giá trị còn lại cuối năm của tài sản cố định hữu hình đã dùng thế chấp, cảm cố đảm bảo các khoản vay:","- Giá trị còn lại cuối năm của tài sản cố định hữu hình đã dùng thế chấp, cảm cố đảm bảo các khoản vay:","- Giá trị còn lại cuối năm của tài sản cố định hữu hình đã dùng thế chấp, cảm cố đảm bảo các khoản vay:","- Giá trị còn lại cuối năm của tài sản cố định hữu hình đã dùng thế chấp, cảm cố đảm bảo các khoản vay:","- Giá trị còn lại cuối năm của tài sản cố định hữu hình đã dùng thế chấp, cảm cố đảm bảo các khoản vay:",152.172.471.471,đồng,,,,,152172471471.0,
- Nguyên giá tài sản cố định cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Trong đó: > - Nguyên giá tài sản cố định cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,- Nguyên giá tài sản cố định cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,- Nguyên giá tài sản cố định cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,- Nguyên giá tài sản cố định cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,- Nguyên giá tài sản cố định cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,- Nguyên giá tài sản cố định cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,386.855.983.031,đồng,,,,,386855983031.0,
