row_label_raw,row_label_full,col_0,31/12/2021 > Trích lập dự phòng,31/12/2021 > Giá trị,01/01/2021 > Trích lập dự phòng,01/01/2021 > Giá trị,numeric__31/12/2021 > Trích lập dự phòng,numeric__31/12/2021 > Giá trị,numeric__01/01/2021 > Trích lập dự phòng,numeric__01/01/2021 > Giá trị
Công ty TNHH MTV kiểm định KTAT dầu khí Việt Nam - PVEIC,Công ty TNHH MTV kiểm định KTAT dầu khí Việt Nam - PVEIC,Công ty TNHH MTV kiểm định KTAT dầu khí Việt Nam - PVEIC,354.000.000,354.000.000,354.000.000,354.000.000,354000000.0,354000000.0,354000000.0,354000000.0
Công ty CP QL & XD ĐB QNDN,Công ty CP QL & XD ĐB QNDN,Công ty CP QL & XD ĐB QNDN,249.999.800,249.999.800,249.999.800,249.999.800,249999800.0,249999800.0,249999800.0,249999800.0
Tổng đội Thanh niên xung phong Nông nghiệp 4,Tổng đội Thanh niên xung phong Nông nghiệp 4,Tổng đội Thanh niên xung phong Nông nghiệp 4,219.676.656,219.676.656,219.676.656,219.676.656,219676656.0,219676656.0,219676656.0,219676656.0
Xí nghiệp đầu tư và phát triển khu CN Bắc Ch/lai - Trạm thu phí Tam Kỳ,Xí nghiệp đầu tư và phát triển khu CN Bắc Ch/lai - Trạm thu phí Tam Kỳ,Xí nghiệp đầu tư và phát triển khu CN Bắc Ch/lai - Trạm thu phí Tam Kỳ,278.976.912,278.976.912,278.976.912,278.976.912,278976912.0,278976912.0,278976912.0,278976912.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,680.060.179,38.049.962.231,680.060.179,2.573.978.841,680060179.0,38049962231.0,680060179.0,2573978841.0
Bên liên quan (*),Bên liên quan (*),Bên liên quan (*),-,396.587.100.258,-,270.387.592.550,,396587100258.0,,270387592550.0
Công ty Cổ phần Tư vấn xây dựng A2Z,Công ty Cổ phần Tư vấn xây dựng A2Z,Công ty Cổ phần Tư vấn xây dựng A2Z,-,6.656.906.673,-,2.794.496.852,,6656906673.0,,2794496852.0
Công ty CP Đầu tư và xây dựng ICV Việt Nam,Công ty CP Đầu tư và xây dựng ICV Việt Nam,Công ty CP Đầu tư và xây dựng ICV Việt Nam,-,-,-,1.324.856.876,,,,1324856876.0
Công ty cổ phần tư vấn xây dựng Hoàng Long,Công ty cổ phần tư vấn xây dựng Hoàng Long,Công ty cổ phần tư vấn xây dựng Hoàng Long,-,822.000.000,-,348.000.000,,822000000.0,,348000000.0
Công ty Cổ phần Phước Tượng Phú Gia BOT,Công ty Cổ phần Phước Tượng Phú Gia BOT,Công ty Cổ phần Phước Tượng Phú Gia BOT,-,52.007.261.820,-,57.155.927.220,,52007261820.0,,57155927220.0
Công ty Cổ Phần BOT Bắc Giang - Lạng Sơn,Công ty Cổ Phần BOT Bắc Giang - Lạng Sơn,Công ty Cổ Phần BOT Bắc Giang - Lạng Sơn,-,26.681.428.257,-,21.821.245.712,,26681428257.0,,21821245712.0
Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,-,8.018.141.334,-,2.358.205.811,,8018141334.0,,2358205811.0
Công ty cổ phần Đầu tư Đẻo Cả,Công ty cổ phần Đầu tư Đẻo Cả,Công ty cổ phần Đầu tư Đẻo Cả,-,161.649.663.847,-,184.404.860.079,,161649663847.0,,184404860079.0
Công ty Cổ phần BOT Trung Lương - Mỹ Thuận,Công ty Cổ phần BOT Trung Lương - Mỹ Thuận,Công ty Cổ phần BOT Trung Lương - Mỹ Thuận,-,270.000.000,-,180.000.000,,270000000.0,,180000000.0
Công ty Cổ phần tập đoàn Đẻo cả,Công ty Cổ phần tập đoàn Đẻo cả,Công ty Cổ phần tập đoàn Đẻo cả,-,140.481.698.327,-,-,,140481698327.0,,
