row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2024Triệu đồng,Ngày 31 tháng 12 năm 2023Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2024Triệu đồng,numeric__Ngày 31 tháng 12 năm 2023Triệu đồng
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,692.875.738,566.271.290,10.0,692875738.0,566271290.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(16.330.140),(14.799.224),11.0,-16330140.0,-14799224.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,799.825,821.761,12.0,799825.0,821761.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,805.869,827.971,,805869.0,827971.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(6.044),(6.210),,-6044.0,-6210.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,,52.783.054,94.587.476,,52783054.0,94587476.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,13.1,51.857.428,88.050.457,131.0,51857428.0,88050457.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,992.927,6.755.260,132.0,992927.0,6755260.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,"13.3,13.4",(67.301),(218.241),133.134,-67301.0,-218241.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",14,189.210,189.210,14.0,189210.0,189210.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,2.023.899,1.923.801,,2023899.0,1923801.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15.1,1.437.082,1.298.099,151.0,1437082.0,1298099.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,3.406.801,2.994.200,,3406801.0,2994200.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(1.969.719),(1.696.101),,-1969719.0,-1696101.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15.2,586.817,625.702,152.0,586817.0,625702.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,2.086.191,1.908.548,,2086191.0,1908548.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(1.499.374),(1.282.846),,-1499374.0,-1282846.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,,27.275.914,51.445.520,,27275914.0,51445520.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,16.1,11.411.320,33.969.441,161.0,11411320.0,33969441.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",16.2,8.384.069,8.976.228,162.0,8384069.0,8976228.0
Tài sản thuế thu nhập doanh nghiệp hoãn lại,TÀI SẢN > Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,24.2,1.195.836,1.297.724,242.0,1195836.0,1297724.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.3,6.547.735,7.354.383,163.0,6547735.0,7354383.0
Trong đó: Lợi thế thương mại,TÀI SẢN > Trong đó: Lợi thế thương mại,Trong đó: Lợi thế thương mại,17,41.310,118.507,17.0,41310.0,118507.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,16.4,(263.046),(152.256),164.0,-263046.0,-152256.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,923.847.637,817.566.922,,923847637.0,817566922.0
