row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ,% sở hữu,% quyền biểu quyết,31/12/2020 > Giá gốc VND,31/12/2020 > Dự phòng VND,31/12/2020 > Giá trị hợp lý VND,31/12/2020 > % sở hữu,1/1/2020 > % quyền biểu quyết,1/1/2020 > Giá gốc VND,1/1/2020 > Dự phòng VND,numeric__Tên Công ty,numeric__Địa chỉ,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__31/12/2020 > Giá gốc VND,numeric__31/12/2020 > Dự phòng VND,numeric__31/12/2020 > Giá trị hợp lý VND,numeric__31/12/2020 > % sở hữu,numeric__1/1/2020 > % quyền biểu quyết,numeric__1/1/2020 > Giá gốc VND,numeric__1/1/2020 > Dự phòng VND
24,Các công ty con thuộc Khối xăng đầu trực thuộc > 24,24,Công ty Xăng dầu Long An,Long An,100%,100%,105.200.000.000,-,(*),100%,100%,105.200.000.000,-,,,1.0,1.0,105200000000.0,,,1.0,1.0,105200000000.0,
25,Các công ty con thuộc Khối xăng đầu trực thuộc > 25,25,Công ty TNHH MTV Xăng dầu Cà Mau,Cà Mau,100%,100%,98.800.000.000,-,(*),100%,100%,98.800.000.000,-,,,1.0,1.0,98800000000.0,,,1.0,1.0,98800000000.0,
26,Các công ty con thuộc Khối xăng đầu trực thuộc > 26,26,Công ty Xăng dầu Bình Định,Bình Định,100%,100%,87.600.000.000,-,(*),100%,100%,87.600.000.000,-,,,1.0,1.0,87600000000.0,,,1.0,1.0,87600000000.0,
27,Các công ty con thuộc Khối xăng đầu trực thuộc > 27,27,Công ty Xăng dầu Hà Tĩnh Công ty TNHH MTV Xăng dầu,Hà Tĩnh,100%,100%,79.900.000.000,(11.516.849.387),(*),100%,100%,79.900.000.000,-,,,1.0,1.0,79900000000.0,-11516849387.0,,1.0,1.0,79900000000.0,
28,Các công ty con thuộc Khối xăng đầu trực thuộc > 28,28,Nam Tây Nguyên,Đắc Lak,100%,100%,74.000.000.000,-,(*),100%,100%,74.000.000.000,-,,,1.0,1.0,74000000000.0,,,1.0,1.0,74000000000.0,
29,Các công ty con thuộc Khối xăng đầu trực thuộc > 29,29,Công ty Xăng dầu Phú Thọ,Phú Thọ,100%,100%,71.100.000.000,-,(*),100%,100%,71.100.000.000,-,,,1.0,1.0,71100000000.0,,,1.0,1.0,71100000000.0,
30,Các công ty con thuộc Khối xăng đầu trực thuộc > 30,30,Công ty Xăng dầu Bắc Thái,Thái Nguyên,100%,100%,69.300.000.000,(6.621.009.709),(*),100%,100%,69.300.000.000,-,,,1.0,1.0,69300000000.0,-6621009709.0,,1.0,1.0,69300000000.0,
31,Các công ty con thuộc Khối xăng đầu trực thuộc > 31,31,Công ty Xăng dầu Thừa Thiên Huế,Huế,100%,100%,66.000.000.000,-,(*),100%,100%,66.000.000.000,-,,,1.0,1.0,66000000000.0,,,1.0,1.0,66000000000.0,
32,Các công ty con thuộc Khối xăng đầu trực thuộc > 32,32,Công ty TNHH MTV Xăng dầu Tiền Giang,Tiền Giang,100%,100%,60.400.000.000,-,(*),100%,100%,60.400.000.000,-,,,1.0,1.0,60400000000.0,,,1.0,1.0,60400000000.0,
33,Các công ty con thuộc Khối xăng đầu trực thuộc > 33,33,Công ty Xăng dầu Quảng Trị,Quảng Trị,100%,100%,57.000.000.000,(321.826.957),(*),100%,100%,57.000.000.000,-,,,1.0,1.0,57000000000.0,-321826957.0,,1.0,1.0,57000000000.0,
34,Các công ty con thuộc Khối xăng đầu trực thuộc > 34,34,Công ty Xăng dầu Quảng Bình,Quảng Bình,100%,100%,57.000.000.000,(1.443.876.831),(*),100%,100%,57.000.000.000,-,,,1.0,1.0,57000000000.0,-1443876831.0,,1.0,1.0,57000000000.0,
35,Các công ty con thuộc Khối xăng đầu trực thuộc > 35,35,Công ty Xăng dầu Tuyên Quang,Tuyên Quang,100%,100%,48.000.000.000,(7.699.816.331),(*),100%,100%,48.000.000.000,-,,,1.0,1.0,48000000000.0,-7699816331.0,,1.0,1.0,48000000000.0,
