row_label_raw,row_label_full,08. Chi phí quản lý doanh nghiệp (Tiếp theo),Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
11. Chi phí thuế thu nhập doanh nghiệp,11. Chi phí thuế thu nhập doanh nghiệp,11. Chi phí thuế thu nhập doanh nghiệp,11. Chi phí thuế thu nhập doanh nghiệp,11. Chi phí thuế thu nhập doanh nghiệp,,
11.1. Chi phí thuế thu nhập doanh nghiệp hiện hành,11.1. Chi phí thuế thu nhập doanh nghiệp hiện hành,11.1. Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm nay,Năm trước,,
Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế năm hiện hành,11.1. Chi phí thuế thu nhập doanh nghiệp hiện hành > Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế năm hiện hành,Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế năm hiện hành,452.264.313.614,499.653.941.445,452264313614.0,499653941445.0
Điều chính chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm nay,11.1. Chi phí thuế thu nhập doanh nghiệp hiện hành > Điều chính chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm nay,Điều chính chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm nay,8.385.455.010,39.095.359.297,8385455010.0,39095359297.0
Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,11.1. Chi phí thuế thu nhập doanh nghiệp hiện hành > Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,460.649.768.624,538.749.300.742,460649768624.0,538749300742.0
11.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại,11.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại,11.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại,Năm nay,Năm trước,,
Chi phí thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời phải chịu thuế,11.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại > Chi phí thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời phải chịu thuế,Chi phí thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời phải chịu thuế,0,275.182.206,0.0,275182206.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại phát sinh từ việc hoàn nhập tài sản thuế thu nhập hoãn lại,11.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại > Chi phí thuế thu nhập doanh nghiệp hoãn lại phát sinh từ việc hoàn nhập tài sản thuế thu nhập hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại phát sinh từ việc hoàn nhập tài sản thuế thu nhập hoãn lại,54.191.317.304,35.740.928.573,54191317304.0,35740928573.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời được khấu trừ,11.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại > Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời được khấu trừ,Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời được khấu trừ,(40.789.330.928),(20.627.491.678),-40789330928.0,-20627491678.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ việc hoàn nhập thuế thu nhập hoãn lại phải trả,11.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại > Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ việc hoàn nhập thuế thu nhập hoãn lại phải trả,Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ việc hoàn nhập thuế thu nhập hoãn lại phải trả,110.918.837,0,110918837.0,0.0
Tổng chi phí thuế thu nhập doanh nghiệp hoãn lại,11.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí thuế thu nhập doanh nghiệp hoãn lại,Tổng chi phí thuế thu nhập doanh nghiệp hoãn lại,13.512.905.213,15.388.619.101,13512905213.0,15388619101.0
