row_label_raw,row_label_full,col_0,Quá hạnVND,Không nhay cảmvới lãi suấtVND,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngVND,numeric__Quá hạnVND,numeric__Không nhay cảmvới lãi suấtVND,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngVND
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,-,583.159.070.091,-,-,-,-,-,-,583.159.070.091,,583159070091.0,,,,,,,583159070091.0
Tài sản Có khác - gộp,Tải sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,4.800.000.000,12.697.819.493.469,-,-,-,-,-,-,12.702.619.493.469,4800000000.0,12697819493469.0,,,,,,,12702619493469.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,2.666.652.541.484,20.867.177.430.964,37.055.068.228.491,40.111.145.302.119,42.031.105.030.601,22.343.998.052.377,14.362.220.391.571,16.202.000.000.000,195.639.366.977.607,2666652541484.0,20867177430964.0,37055068228491.0,40111145302119.0,42031105030601.0,22343998052377.0,14362220391571.0,16202000000000.0,195639366977607.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,1.288.876.469.848,1.194.457.160.351,-,111.296.115.407,-,-,2.594.629.745.606,,,1288876469848.0,1194457160351.0,,111296115407.0,,,2594629745606.0
Tiền gửi và vay từ TCTD khác,Nợ phải trả > Tiền gửi và vay từ TCTD khác,Tiền gửi và vay từ TCTD khác,-,-,20.172.012.549.190,1.487.882.718.168,559.479.827.011,328.989.584.406,90.278.179.658,-,22.638.642.858.433,,,20172012549190.0,1487882718168.0,559479827011.0,328989584406.0,90278179658.0,,22638642858433.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,33.670.283.515.258,18.466.571.853.928,29.049.327.724.939,15.447.980.501.688,5.595.565.019.543,-,102.229.728.615.356,,,33670283515258.0,18466571853928.0,29049327724939.0,15447980501688.0,5595565019543.0,,102229728615356.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu núi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu núi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu núi ro",-,-,250.000.000,2.462.737.043.750,530.643.210.426,32.864.645.100,141.558.143.526,421.347.679,3.168.474.390.481,,,250000000.0,2462737043750.0,530643210426.0,32864645100.0,141558143526.0,421347679.0,3168474390481.0
Phát hành giấy tờ có giả,Nợ phải trả > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,100.000.000.000,2.400.000.000.000,450.000.000.000,7.650.000.000.000,21.422.737.500.000,-,32.022.737.500.000,,,100000000000.0,2400000000000.0,450000000000.0,7650000000000.0,21422737500000.0,,32022737500000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,6.091.554.708.485,-,-,-,-,-,-,6.091.554.708.485,,6091554708485.0,,,,,,,6091554708485.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,6.091.554.708.485,55.231.422.534.296,26.011.648.776.197,30.589.450.762.376,23.571.130.846.601,27.250.138.842.727,421.347.679,168.745.767.818.361,,6091554708485.0,55231422534296.0,26011648776197.0,30589450762376.0,23571130846601.0,27250138842727.0,421347679.0,168745767818361.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,2.666.652.541.484,14.775.622.722.479,(18.176.354.305.805),14.099.496.525.922,11.441.654.268.225,(1.227.132.794.224),(12.887.918.451.156),16.201.578.652.321,26.893.599.159.246,2666652541484.0,14775622722479.0,-18176354305805.0,14099496525922.0,11441654268225.0,-1227132794224.0,-12887918451156.0,16201578652321.0,26893599159246.0
