row_label_raw,row_label_full,col_0,Miền Nam VND,Miền Bắc VND,Miền Trung VND,Loại trừ VND,Tổng cộng VND,numeric__Miền Nam VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Loại trừ VND,numeric__Tổng cộng VND
2. Chi phí khấu hao tài sản cố định,II. Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(83.704.839.062),(8.091.859.720),(6.531.406.022),-,(98.328.104.804),-83704839062.0,-8091859720.0,-6531406022.0,,-98328104804.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,II. Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(4.115.648.534.634),(423.638.367.244),(313.204.294.542),491.444.493.292,(4.361.046.703.128),-4115648534634.0,-423638367244.0,-313204294542.0,491444493292.0,-4361046703128.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,II. Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,4.198.840.119.294,626.443.178.363,632.192.907.420,-,5.457.476.205.077,4198840119294.0,626443178363.0,632192907420.0,,5457476205077.0
Chi phí dự phòng rủi ro tín dụng,II. Chi phí > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(836.305.149.409),(189.612.757.076),(41.543.585.900),-,(1.067.461.492.385),-836305149409.0,-189612757076.0,-41543585900.0,,-1067461492385.0
Kết quả kinh doanh bộ phận trước thuế,II. Chi phí > Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,3.362.534.969.885,436.830.421.287,590.649.321.520,-,4.390.014.712.692,3362534969885.0,436830421287.0,590649321520.0,,4390014712692.0
III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,,,,,
"1. Tiền mặt, vàng, đá quỹ","III. Tài sản > 1. Tiền mặt, vàng, đá quỹ","1. Tiền mặt, vàng, đá quỹ",554.350.168.009,125.376.125.781,113.738.060.705,-,793.464.354.495,554350168009.0,125376125781.0,113738060705.0,,793464354495.0
2. Tài sản cố định,III. Tài sản > 2. Tài sản cố định,2. Tài sản cố định,470.572.547.688,43.071.744.041,69.514.778.362,-,583.159.070.091,470572547688.0,43071744041.0,69514778362.0,,583159070091.0
3. Tài sản khác,III. Tài sản > 3. Tài sản khác,3. Tài sản khác,164.222.728.909.839,17.904.929.434.856,10.513.573.966.368,-,192.641.232.311.063,164222728909839.0,17904929434856.0,10513573966368.0,,192641232311063.0
Tổng tài sản,III. Tài sản > Tổng tài sản,Tổng tài sản,165.247.651.625.536,18.073.377.304.678,10.696.826.805.435,-,194.017.855.735.649,165247651625536.0,18073377304678.0,10696826805435.0,,194017855735649.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,,,,,
1. Nợ phải trả khách hàng bên ngoài,IV. Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,(140.891.694.594.303),(17.636.546.883.391),(10.106.177.483.915),-,(168.634.418.961.609),-140891694594303.0,-17636546883391.0,-10106177483915.0,,-168634418961609.0
2. Nợ phải trả nội bộ,IV. Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,(9.027.615.092),-,-,-,(9.027.615.092),-9027615092.0,,,,-9027615092.0
3. Nợ phải trả khác,IV. Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,(102.321.241.660),-,-,-,(102.321.241.660),-102321241660.0,,,,-102321241660.0
Tổng nợ phải trả,IV. Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,(141.003.043.451.055),(17.636.546.883.391),(10.106.177.483.915),-,(168.745.767.818.361),-141003043451055.0,-17636546883391.0,-10106177483915.0,,-168745767818361.0
