row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ dự phòng tài chính VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ dự phòng tài chính VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng VND
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,1.790.948.754.290,1.790.948.754.290,,,,,,1790948754290.0,1790948754290.0
Phát hành cổ phiếu từ thăng dư vốn cổ phần,Phát hành cổ phiếu từ thăng dư vốn cổ phần,Phát hành cổ phiếu từ thăng dư vốn cổ phần,1.465.851.380.000,(1.465.851.380.000),-,-,-,-,-,1465851380000.0,-1465851380000.0,,,,,
Phát hành cổ phiếu thưởng cho người lao động (Thuyết minh 18),Phát hành cổ phiếu thưởng cho người lao động (Thuyết minh 18),Phát hành cổ phiếu thưởng cho người lao động (Thuyết minh 18),67.350.000.000,(67.350.000.000),-,-,-,-,-,67350000000.0,-67350000000.0,,,,,
Trả cổ tức bằng cổ phiếu (Thuyết minh 19),Trả cổ tức bằng cổ phiếu (Thuyết minh 19),Trả cổ tức bằng cổ phiếu (Thuyết minh 19),977.231.060.000,-,-,-,-,(977.231.060.000),-,977231060000.0,,,,,-977231060000.0,
Cổ tức (Thuyết minh 19),Cổ tức (Thuyết minh 19),Cổ tức (Thuyết minh 19),-,-,-,-,-,(488.625.075.000),(488.625.075.000),,,,,,-488625075000.0,-488625075000.0
Thu hồi cổ phiếu thưởng cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thưởng cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thưởng cho nhân viên làm cổ phiếu quỹ,-,-,(638.500.000),-,-,638.500.000,-,,,-638500000.0,,,638500000.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(122.812.875.412),(122.812.875.412),,,,,,-122812875412.0,-122812875412.0
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,-,-,89.547.437.481,(89.547.437.481),-,,,,,89547437481.0,-89547437481.0,
Thù lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Thù lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Thù lao thành viên Hội đồng Quản trị và Ban Kiểm soát,-,-,-,-,-,(100.000.000),(100.000.000),,,,,,-100000000.0,-100000000.0
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,7.329.514.190.000,674.149.437.068,(638.500.000),-,300.416.193.231,1.117.008.913.105,9.420.450.233.404,7329514190000.0,674149437068.0,-638500000.0,,300416193231.0,1117008913105.0,9420450233404.0
