row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,,37.062.784,2.981.643.243,216.0,,37062784.0,2981643243.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,3.105.790.318.731,2.925.749.763.381,220.0,,3105790318731.0,2925749763381.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,11,2.952.553.156.707,2.767.996.457.250,221.0,11.0,2952553156707.0,2767996457250.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,5.756.772.172.035,4.887.435.525.946,222.0,,5756772172035.0,4887435525946.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(2.804.219.015.328),(2.119.439.068.696),223.0,,-2804219015328.0,-2119439068696.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,12,153.237.162.024,157.753.306.131,227.0,12.0,153237162024.0,157753306131.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,273.236.124.664,259.482.375.411,228.0,,273236124664.0,259482375411.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(119.998.962.640),(101.729.069.280),229.0,,-119998962640.0,-101729069280.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,214.146.967.623,217.795.128.330,240.0,,214146967623.0,217795128330.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,13,214.146.967.623,217.795.128.330,242.0,13.0,214146967623.0,217795128330.0
IV. Các khoản đầu tư tài chính dài hạn,IV. Các khoản đầu tư tài chính dài hạn,IV. Các khoản đầu tư tài chính dài hạn,250,6,256.306.987.671,190.161.150.175,250.0,6.0,256306987671.0,190161150175.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,263.457.441.356,194.459.441.356,251.0,,263457441356.0,194459441356.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,6.000.000.000,6.000.000.000,253.0,,6000000000.0,6000000000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(13.150.453.685),(10.298.291.181),254.0,,-13150453685.0,-10298291181.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,404.487.057.507,392.122.716.653,260.0,,404487057507.0,392122716653.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,9,354.797.797.580,335.391.459.935,261.0,9.0,354797797580.0,335391459935.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,,49.689.259.927,56.731.256.718,262.0,,49689259927.0,56731256718.0
TỔNG CÔNG TÀI SẢN (270 = 100 + 200),TỔNG CÔNG TÀI SẢN (270 = 100 + 200),TỔNG CÔNG TÀI SẢN (270 = 100 + 200),270,,7.844.448.011.895,7.360.606.249.303,270.0,,7844448011895.0,7360606249303.0
