row_label_raw,row_label_full,col_0,Quá hạn,Không chịu lãi,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng công,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng công
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,382.873,-,-,-,-,-,-,382.873,,382873.0,,,,,,,382873.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),78.728,16.242.308,2.400,2.400,3.600,7.200,57.600,513.880,16.908.116,78728.0,16242308.0,2400.0,2400.0,3600.0,7200.0,57600.0,513880.0,16908116.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.049.697,20.910.278,62.114.422,49.241.425,28.169.194,18.761.153,18.640.557,12.424.440,214.311.166,4049697.0,20910278.0,62114422.0,49241425.0,28169194.0,18761153.0,18640557.0,12424440.0,214311166.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,1.650,-,-,1.001.621,11.289,-,1.014.560,,,1650.0,,,1001621.0,11289.0,,1014560.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,40.015.317,4.586.685,5.772.158,-,-,-,50.374.160,,,40015317.0,4586685.0,5772158.0,,,,50374160.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,52.665.656,11.877.826,31.077.030,16.707.517,4.792.666,84,117.120.779,,,52665656.0,11877826.0,31077030.0,16707517.0,4792666.0,84.0,117120779.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,115.298,24.765,40.135,3.013.116,8.406.200,-,11.599.514,,,115298.0,24765.0,40135.0,3013116.0,8406200.0,,11599514.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,6.012.847,-,-,-,-,-,-,6.012.847,,6012847.0,,,,,,,6012847.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,6.012.847,92.797.921,16.489.276,36.889.323,20.722.254,13.210.155,84,186.121.860,,6012847.0,92797921.0,16489276.0,36889323.0,20722254.0,13210155.0,84.0,186121860.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,4.049.697,14.897.431,(30.683.499),32.752.149,(8.720.129),(1.961.101),5.430.402,12.424.356,28.189.306,4049697.0,14897431.0,-30683499.0,32752149.0,-8720129.0,-1961101.0,5430402.0,12424356.0,28189306.0
