row_label_raw,row_label_full,CHỈ TIÊU,Mã số,TM,Năm 2025,Năm 2024,numeric__Mã số,numeric__TM,numeric__Năm 2025,numeric__Năm 2024
"Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản: > Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,,491.397.709,(326.046.661),10.0,,491397709.0,-326046661.0
"Tăng, giảm các khoản phải trả (không kế lãi vayphải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản: > Tăng, giảm các khoản phải trả (không kế lãi vayphải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (không kế lãi vayphải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,33.048.410.300,(7.755.792.395),11.0,,33048410300.0,-7755792395.0
"Tăng, giảm chi phí trả trước","2. Điều chỉnh cho các khoản: > Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,,2.082.953.893,142.826.432.952,12.0,,2082953893.0,142826432952.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,-,(2.822.772.603),14.0,,,-2822772603.0
Tiền thuê thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Tiền thuê thu nhập doanh nghiệp đã nộp,Tiền thuê thu nhập doanh nghiệp đã nộp,15,4.11,(7.442.228.000),(14.494.206.947),15.0,411.0,-7442228000.0,-14494206947.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,7.020.000,61.390.000,16.0,,7020000.0,61390000.0
Tiền chi khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác từ hoạt động kinh doanh,Tiền chi khác từ hoạt động kinh doanh,17,,(9.208.690.532),(10.321.901.419),17.0,,-9208690532.0,-10321901419.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(2.993.736.361),171.384.023.675,20.0,,-2993736361.0,171384023675.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"1. Tiền chỉ để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chỉ để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác","1. Tiền chỉ để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác",21,,(194.292.571.807),(21.001.276.265),21.0,,-194292571807.0,-21001276265.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐvà các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu từ thanh lý, nhượng bán TSCĐvà các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐvà các tài sản dài hạn khác",22,,-,1.083.318.182,22.0,,,1083318182.0
"3. Tiền chi cho vay, mua các công cụ nợcủa các đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chi cho vay, mua các công cụ nợcủa các đơn vị khác","3. Tiền chi cho vay, mua các công cụ nợcủa các đơn vị khác",23,,(220.900.000.000),(573.890.000.000),23.0,,-220900000000.0,-573890000000.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa các đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa các đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa các đơn vị khác",24,,534.982.580.548,843.380.000.000,24.0,,534982580548.0,843380000000.0
5. Tiền chi đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(245.381.000.000),(562.080.000.000),25.0,,-245381000000.0,-562080000000.0
"6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,619.380.942.151,531.537.884.824,27.0,,619380942151.0,531537884824.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,493.789.950.892,219.029.926.741,30.0,,493789950892.0,219029926741.0
