row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2025VND,01/01/2025VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025VND,numeric__01/01/2025VND
Chi phí phải trả dài hạn,Nhà nước > Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,20,387.854.304.843,532.854.304.843,333.0,20.0,387854304843.0,532854304843.0
Phải trả nội bộ về vốn kinh doanh,Nhà nước > Phải trả nội bộ về vốn kinh doanh,Phải trả nội bộ về vốn kinh doanh,334,,-,-,334.0,,,
Phải trả nội bộ dài hạn,Nhà nước > Phải trả nội bộ dài hạn,Phải trả nội bộ dài hạn,335,,-,-,335.0,,,
Doanh thu chưa thực hiện dài hạn,Nhà nước > Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,336,21,78.744.983.284,91.160.583.537,336.0,21.0,78744983284.0,91160583537.0
Phải trả dài hạn khác,Nhà nước > Phải trả dài hạn khác,Phải trả dài hạn khác,337,22,82.216.519.869,78.478.210.481,337.0,22.0,82216519869.0,78478210481.0
Vay và nợ thuê tài chính dài hạn,Nhà nước > Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,23,3.029.688.325.776,3.395.044.263.387,338.0,23.0,3029688325776.0,3395044263387.0
Trái phiếu chuyển đổi,Nhà nước > Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,339,,-,-,339.0,,,
Cổ phiếu ưu đãi,Nhà nước > Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,340,,-,-,340.0,,,
Thuế thu nhập doanh nghiệp hoãn lại phải trả,Nhà nước > Thuế thu nhập doanh nghiệp hoãn lại phải trả,Thuế thu nhập doanh nghiệp hoãn lại phải trả,341,,277.888.335.504,179.872.137.199,341.0,,277888335504.0,179872137199.0
Dự phòng phải trả dài hạn,Nhà nước > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,,96.881.978,-,342.0,,96881978.0,
Quỹ phát triển khoa học và công nghệ,Nhà nước > Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,343,,-,-,343.0,,,
