row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo_2,Mẫu SỐ B09 - DN/HN > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,Mẫu SỐ B09 - DN/HN > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo_2,numeric__Mẫu SỐ B09 - DN/HN > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,numeric__Mẫu SỐ B09 - DN/HN > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo_1
Công ty TNHH Giao Hường Xanh (3),11. PHẢI THU KHÁC > Công ty TNHH Giao Hường Xanh (3),Công ty TNHH Giao Hường Xanh (3),227.424.404.304,-,221.272.499.864,-,227424404304.0,,221272499864.0,
Công ty Cổ phần bất động sản Khải Minh Land,11. PHẢI THU KHÁC > Công ty Cổ phần bất động sản Khải Minh Land,Công ty Cổ phần bất động sản Khải Minh Land,3.314.661.825,-,3.314.661.825,-,3314661825.0,,3314661825.0,
Phải thu lãi hợp đồng hợp tác kinh doanh,11. PHẢI THU KHÁC > Phải thu lãi hợp đồng hợp tác kinh doanh,Phải thu lãi hợp đồng hợp tác kinh doanh,106.740.000.000,-,19.400.000.000,-,106740000000.0,,19400000000.0,
- Công ty TNHH Giao Hường Xanh (6),11. PHẢI THU KHÁC > - Công ty TNHH Giao Hường Xanh (6),- Công ty TNHH Giao Hường Xanh (6),32.000.000.000,-,-,-,32000000000.0,,,
- Công ty Cổ phần Bất động sản Khải Minh Lænd (7),11. PHẢI THU KHÁC > - Công ty Cổ phần Bất động sản Khải Minh Lænd (7),- Công ty Cổ phần Bất động sản Khải Minh Lænd (7),42.760.000.000,-,5.500.000.000,-,42760000000.0,,5500000000.0,
- Công ty TNHH Cộng đồng Môi giới (8),11. PHẢI THU KHÁC > - Công ty TNHH Cộng đồng Môi giới (8),- Công ty TNHH Cộng đồng Môi giới (8),22.580.000.000,-,4.500.000.000,-,22580000000.0,,4500000000.0,
- Công ty TNHH Đầu tư Phát triển Solution (9),11. PHẢI THU KHÁC > - Công ty TNHH Đầu tư Phát triển Solution (9),- Công ty TNHH Đầu tư Phát triển Solution (9),9.400.000.000,-,9.400.000.000,-,9400000000.0,,9400000000.0,
Phải thu thanh toán theo tiến độ hợp đồng,11. PHẢI THU KHÁC > Phải thu thanh toán theo tiến độ hợp đồng,Phải thu thanh toán theo tiến độ hợp đồng,75.582.428.087,-,-,-,75582428087.0,,,
"- Dự án Khu thương mại, biệt thư và chung cư cao cấp tại Long Hậu, Cần Guộc, Long An","11. PHẢI THU KHÁC > - Dự án Khu thương mại, biệt thư và chung cư cao cấp tại Long Hậu, Cần Guộc, Long An","- Dự án Khu thương mại, biệt thư và chung cư cao cấp tại Long Hậu, Cần Guộc, Long An",47.816.866.511,-,-,-,47816866511.0,,,
"- Dự án khu nhà ở thương mại, nhà ở đô thị tại Bẩn Yên Nhân, Mỹ Hào, Hưng Yên","11. PHẢI THU KHÁC > - Dự án khu nhà ở thương mại, nhà ở đô thị tại Bẩn Yên Nhân, Mỹ Hào, Hưng Yên","- Dự án khu nhà ở thương mại, nhà ở đô thị tại Bẩn Yên Nhân, Mỹ Hào, Hưng Yên",27.765.561.576,-,-,-,27765561576.0,,,
Phải thu về cho vay khác,11. PHẢI THU KHÁC > Phải thu về cho vay khác,Phải thu về cho vay khác,300.000.000,-,60.000.000,-,300000000.0,,60000000.0,
Các khoản phải thu khác,11. PHẢI THU KHÁC > Các khoản phải thu khác,Các khoản phải thu khác,5.324.755.115,-,3.055.913.895,-,5324755115.0,,3055913895.0,
Dài hạn,11. PHẢI THU KHÁC > Dài hạn,Dài hạn,4.158.940.492.003,-,3.534.170.382.211,-,4158940492003.0,,3534170382211.0,
Ký quỹ thực hiện dự án (4),11. PHẢI THU KHÁC > Ký quỹ thực hiện dự án (4),Ký quỹ thực hiện dự án (4),21.500.000.000,-,21.500.000.000,-,21500000000.0,,21500000000.0,
Ký quỹ môi giới bất động sản,11. PHẢI THU KHÁC > Ký quỹ môi giới bất động sản,Ký quỹ môi giới bất động sản,87.594.201.603,-,185.421.925.211,-,87594201603.0,,185421925211.0,
- Công ty Cổ phần Tập đoàn Bất động sản T&T (5),11. PHẢI THU KHÁC > - Công ty Cổ phần Tập đoàn Bất động sản T&T (5),- Công ty Cổ phần Tập đoàn Bất động sản T&T (5),76.416.275.475,-,178.421.925.211,-,76416275475.0,,178421925211.0,
- Công ty Cổ phần Bất động sản T&T Homes,11. PHẢI THU KHÁC > - Công ty Cổ phần Bất động sản T&T Homes,- Công ty Cổ phần Bất động sản T&T Homes,8.577.926.128,-,-,-,8577926128.0,,,
- Các đối tượng khác,11. PHẢI THU KHÁC > - Các đối tượng khác,- Các đối tượng khác,2.600.000.000,-,7.000.000.000,-,2600000000.0,,7000000000.0,
Ký quỹ ký cược khác,11. PHẢI THU KHÁC > Ký quỹ ký cược khác,Ký quỹ ký cược khác,91.648.850,-,20.000.000,-,91648850.0,,20000000.0,
Đặt cọc tiền thuê văn phòng,11. PHẢI THU KHÁC > Đặt cọc tiền thuê văn phòng,Đặt cọc tiền thuê văn phòng,2.754.641.550,-,3.228.457.000,-,2754641550.0,,3228457000.0,
Công ty TNHH Giao Hường Xanh (6),11. PHẢI THU KHÁC > Công ty TNHH Giao Hường Xanh (6),Công ty TNHH Giao Hường Xanh (6),800.000.000.000,-,800.000.000.000,-,800000000000.0,,800000000000.0,
Công ty Cổ phần Bất động sản Khải Minh Land (7),11. PHẢI THU KHÁC > Công ty Cổ phần Bất động sản Khải Minh Land (7),Công ty Cổ phần Bất động sản Khải Minh Land (7),1.534.000.000.000,-,1.134.000.000.000,-,1534000000000.0,,1134000000000.0,
Công ty TNHH Cộng Đồng Môi Giới (8),11. PHẢI THU KHÁC > Công ty TNHH Cộng Đồng Môi Giới (8),Công ty TNHH Cộng Đồng Môi Giới (8),773.000.000.000,-,450.000.000.000,-,773000000000.0,,450000000000.0,
Công ty TNHH Đầu tư Phát triển Solution (9),11. PHẢI THU KHÁC > Công ty TNHH Đầu tư Phát triển Solution (9),Công ty TNHH Đầu tư Phát triển Solution (9),940.000.000.000,-,940.000.000.000,-,940000000000.0,,940000000000.0,
Cộng,11. PHẢI THU KHÁC > Cộng,Cộng,4.891.587.017.139,-,3.875.389.439.683,-,4891587017139.0,,3875389439683.0,
