row_label_raw,row_label_full,col_0,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 Triệu VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 Triệu VND,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 Triệu VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 Triệu VND
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,
09,Những thay đổi về tài sản hoạt động > 09,09,Tăng các khoản tiền gửi và cho vay các tổ chức tín dụng khác,(2.763.423),(1.157.395),,-2763423.0,-1157395.0
10,Những thay đổi về tài sản hoạt động > 10,10,Tăng các khoản về kinh doanh chứng khoán,(665.001),(7.512.729),,-665001.0,-7512729.0
11,Những thay đổi về tài sản hoạt động > 11,11,Giảm các công cụ tài chính phải sinh và các tài sản tài chính khác,-,16.065,,,16065.0
12,Những thay đổi về tài sản hoạt động > 12,12,Tăng các khoản cho vay khách hàng,(32.013.826),(35.112.173),,-32013826.0,-35112173.0
13,Những thay đổi về tài sản hoạt động > 13,13,Giảm nguồn dự phòng để bù đáp tổn thất các khoản,(238.171),(4.660.790),,-238171.0,-4660790.0
14,Những thay đổi về tài sản hoạt động > 14,14,Giảm/(tăng) khác về tài sản hoạt động,448.784,(545.622),,448784.0,-545622.0
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
15,Những thay đổi về công nợ hoạt động > 15,15,Tăng các khoản nợ Chính phủ và Ngân hàng Nhà nước,3.074.100,-,,3074100.0,
16,Những thay đổi về công nợ hoạt động > 16,16,"Tăng các khoản tiền gửi, tiền vay các tổ chức tín dụng khác",5.264.636,13.218.631,,5264636.0,13218631.0
17,Những thay đổi về công nợ hoạt động > 17,17,Tăng tiền gửi của khách hàng,28.605.571,34.341.663,,28605571.0,34341663.0
18,Những thay đổi về công nợ hoạt động > 18,18,Tăng phát hành giấy tờ có giá,2.362.600,146.000,,2362600.0,146000.0
19,Những thay đổi về công nợ hoạt động > 19,19,"Tăng vốn tài trợ, uỷ thác đầu tư, cho vay mà tổ chức tín dụng chịu rủi ro",23.627,13.769,,23627.0,13769.0
20,Những thay đổi về công nợ hoạt động > 20,20,Tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,27.707,10.491,,27707.0,10491.0
21,Những thay đổi về công nợ hoạt động > 21,21,Tăng khác về công nợ hoạt động,638.518,334.163,,638518.0,334163.0
22,Những thay đổi về công nợ hoạt động > 22,22,Chi từ các quỹ,(5.205),(5.030),,-5205.0,-5030.0
I,Những thay đổi về công nợ hoạt động > I,I,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH,11.905.177,4.885.521,,11905177.0,4885521.0
