row_label_raw,row_label_full,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_1,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_2,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_3,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_4,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_5,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_6,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_7,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_8,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_9,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_1,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_2,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_3,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_4,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_5,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_6,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_7,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_8,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_9
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,785.881,-,-,-,-,33.458.936,18.914.156,53.158.973,,785881.0,,,,,33458936.0,18914156.0,53158973.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,195.595,-,-,-,-,-,-,195.595,,195595.0,,,,,,,195595.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.007.618,-,-,-,-,-,-,3.007.618,,3007618.0,,,,,,,3007618.0
Bắt động sản đầu tư,Tài sản > Bắt động sản đầu tư,Bắt động sản đầu tư,-,256.132,-,-,-,-,-,-,256.132,,256132.0,,,,,,,256132.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),659.069,6.869.191,-,-,-,2.074.435,-,-,9.602.695,659069.0,6869191.0,,,,2074435.0,,,9602695.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.880.503,24.483.863,6.820.460,180.657.684,12.913.122,6.418.055,34.502.332,19.560.151,288.236.170,2880503.0,24483863.0,6820460.0,180657684.0,12913122.0,6418055.0,34502332.0,19560151.0,288236170.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,6.196.674,8.584.322,560.625,112.125,-,-,15.453.746,,,6196674.0,8584322.0,560625.0,112125.0,,,15453746.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,580,48.385.611,93.802.476,39.954.127,15.850.116,43.400.022,-,241.392.932,,580.0,48385611.0,93802476.0,39954127.0,15850116.0,43400022.0,,241392932.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,10.491,-,-,-,-,-,-,10.491,,10491.0,,,,,,,10491.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,106.621,-,-,-,29.845,136.466,,,,106621.0,,,,29845.0,136466.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,140.000,3.621.000,-,3.000.000,6.761.000,,,,,140000.0,3621000.0,,3000000.0,6761000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,4.530.641,-,-,-,-,-,-,4.530.641,,4530641.0,,,,,,,4530641.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,4.541.712,54.582.285,102.493.419,40.654.752,19.583.241,43.400.022,3.029.845,268.285.276,,4541712.0,54582285.0,102493419.0,40654752.0,19583241.0,43400022.0,3029845.0,268285276.0
Mức chênh nhạy cảm với lãi suất - nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - nội bảng,Mức chênh nhạy cảm với lãi suất - nội bảng,2.880.503,19.942.151,(47.761.825),78.164.265,(27.741.630),(13.165.186),(8.897.690),16.530.306,19.950.894,2880503.0,19942151.0,-47761825.0,78164265.0,-27741630.0,-13165186.0,-8897690.0,16530306.0,19950894.0
Mức chênh nhạy cảm với lãi suất - ngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - ngoại bảng,Mức chênh nhạy cảm với lãi suất - ngoại bảng,-,(10.316.910),-,-,-,-,-,-,(10.316.910),,-10316910.0,,,,,,,-10316910.0
Tổng mức chênh nhạy cảm với lãi suất,Nợ phải trả > Tổng mức chênh nhạy cảm với lãi suất,Tổng mức chênh nhạy cảm với lãi suất,2.880.503,9.625.241,(47.761.825),78.164.265,(27.741.630),(13.165.186),(8.897.690),16.530.306,9.633.984,2880503.0,9625241.0,-47761825.0,78164265.0,-27741630.0,-13165186.0,-8897690.0,16530306.0,9633984.0
