row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2023,Đơn vị tính: VND 01/01/2023,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023,numeric__Đơn vị tính: VND 01/01/2023
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,39.687.350.556,39.652.850.556,222.0,,39687350556.0,39652850556.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(19.906.048.344),(18.026.662.563),223.0,,-19906048344.0,-18026662563.0
2 Tài sản cố định vô hình,2 Tài sản cố định vô hình,2 Tài sản cố định vô hình,227,V.10.,994.793.911,627.240.146,227.0,,994793911.0,627240146.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,4.654.471.346,3.634.471.346,228.0,,4654471346.0,3634471346.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(3.659.677.435),(3.007.231.200),229.0,,-3659677435.0,-3007231200.0
III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,230,V.11.,164.180.181.273,169.175.081.073,230.0,,164180181273.0,169175081073.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,224.903.449.704,224.903.449.704,231.0,,224903449704.0,224903449704.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,232,,(60.723.268.431),(55.728.368.631),232.0,,-60723268431.0,-55728368631.0
IV Tài sản dở dang dài hạn,IV Tài sản dở dang dài hạn,IV Tài sản dở dang dài hạn,240,,20.742.730.680,20.468.025.147,240.0,,20742730680.0,20468025147.0
1 Chi phí xây dựng cơ bản dở dang,1 Chi phí xây dựng cơ bản dở dang,1 Chi phí xây dựng cơ bản dở dang,242,V.12.,20.742.730.680,20.468.025.147,242.0,,20742730680.0,20468025147.0
V Đầu tư tài chính dài hạn,V Đầu tư tài chính dài hạn,V Đầu tư tài chính dài hạn,250,V.2.,2.979.547.989.388,2.134.927.172.794,250.0,,2979547989388.0,2134927172794.0
1 Đầu tư vào công ty con,1 Đầu tư vào công ty con,1 Đầu tư vào công ty con,251,,3.271.802.263.492,2.420.484.108.803,251.0,,3271802263492.0,2420484108803.0
2 Dự phòng đầu tư tài chính dài hạn,2 Dự phòng đầu tư tài chính dài hạn,2 Dự phòng đầu tư tài chính dài hạn,254,,(292.254.274.104),(285.556.936.009),254.0,,-292254274104.0,-285556936009.0
VI Tài sản dài hạn khác,VI Tài sản dài hạn khác,VI Tài sản dài hạn khác,260,,5.967.020.606,6.273.568.699,260.0,,5967020606.0,6273568699.0
1 Chi phí trả trước dài hạn,1 Chi phí trả trước dài hạn,1 Chi phí trả trước dài hạn,261,V.13.,5.967.020.606,6.273.568.699,261.0,,5967020606.0,6273568699.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,6.483.394.244.079,3.858.361.537.100,270.0,,6483394244079.0,3858361537100.0
