row_label_raw,row_label_full,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,43.400.532.398,26.507.098.504,numeric__43.400.532.398,numeric__26.507.098.504
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Lãi cho vay > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,-,1.132.397.261,,1132397261.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Lãi cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,5.179.515.756,5.648.732.877,5179515756.0,5648732877.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Lãi cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,14.784.675.941,7.999.410.961,14784675941.0,7999410961.0
Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,,,,
Công ty CP Phát triển dịch vụ C.E.O,Cổ tức nhận được > Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,-,1.657.500.000,,1657500000.0
Công ty CP Phát triển nhà và Đô thị Phú Quốc,Cổ tức nhận được > Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,-,82.537.440.322,,82537440322.0
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Cổ tức nhận được > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,86.062.500.000,270.000.000.000,86062500000.0,270000000000.0
Công ty CP Đầu tư và Phát triển Nha Trang,Cổ tức nhận được > Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,5.940.000.000,20.790.000.000,5940000000.0,20790000000.0
Công ty TNHH C.E.O Hospitality,Cổ tức nhận được > Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,12.000.000.000,-,12000000000.0,
Góp vốn vào công ty con,Góp vốn vào công ty con,Góp vốn vào công ty con,,,,
Góp vốn vào Công ty TNHH C.E.O Quốc Tế,Góp vốn vào công ty con > Góp vốn vào Công ty TNHH C.E.O Quốc Tế,Góp vốn vào Công ty TNHH C.E.O Quốc Tế,200.000.000.000,9.355.655.000,200000000000.0,9355655000.0
Góp vốn vào Công ty TNHH MTV Tư vấn thiết kế C.E.O,Góp vốn vào công ty con > Góp vốn vào Công ty TNHH MTV Tư vấn thiết kế C.E.O,Góp vốn vào Công ty TNHH MTV Tư vấn thiết kế C.E.O,-,4.581.379.789,,4581379789.0
Góp vốn vào Công ty CP Xây dựng C.E.O,Góp vốn vào công ty con > Góp vốn vào Công ty CP Xây dựng C.E.O,Góp vốn vào Công ty CP Xây dựng C.E.O,51.000.000.000,-,51000000000.0,
Góp vốn vào Công ty CP Phát triển nhà và Đô thị Phú Quốc,Góp vốn vào công ty con > Góp vốn vào Công ty CP Phát triển nhà và Đô thị Phú Quốc,Góp vốn vào Công ty CP Phát triển nhà và Đô thị Phú Quốc,94.068.154.689,-,94068154689.0,
Góp vốn vào Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Góp vốn vào công ty con > Góp vốn vào Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Góp vốn vào Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,506.250.000.000,-,506250000000.0,
b) Số dư với các bên liên quan,b) Số dư với các bên liên quan,b) Số dư với các bên liên quan,31/12/2023,01/01/2023,,
,,,VND,VND,,
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Phải thu khách hàng > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,5.525.056.520,24.691.112.424,5525056520.0,24691112424.0
Công ty CP Du lịch C.E.O,Phải thu khách hàng > Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,263.424.837,159.567.556,263424837.0,159567556.0
Công ty CP Phát triển nhà và Đô thị Phú Quốc,Phải thu khách hàng > Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,4.581.818.182,9.794.719.497,4581818182.0,9794719497.0
