row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2021Nghìn VND,1/1/2021Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021Nghìn VND,numeric__1/1/2021Nghìn VND
Vốn cổ phần,NGUỒN VỐN > Vốn cổ phần,Vốn cổ phần,411,24,10.991.554.200,10.991.554.200,411.0,24.0,10991554200.0,10991554200.0
- Cổ phiếu phổ thông có quyền biểu quyết,NGUỒN VỐN > - Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,10.991.554.200,10.991.554.200,,,10991554200.0,10991554200.0
Thặng dư vốn cổ phần,NGUỒN VỐN > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,24,1.098.259.892,1.098.259.892,412.0,24.0,1098259892.0,1098259892.0
Vốn khác của chủ sở hữu,NGUỒN VỐN > Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,(295.683.347),(295.683.347),414.0,,-295683347.0,-295683347.0
Chênh lệch tỷ giá hối đoái,NGUỒN VỐN > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,(365.829.110),(189.058.584),417.0,,-365829110.0,-189058584.0
Quỹ khác thuộc vốn chủ sở hữu,NGUỒN VỐN > Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,(170.252.387),(358.967.342),420.0,,-170252387.0,-358967342.0
Lợi nhuận sau thuế chưa phân phối,NGUỒN VỐN > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,2.962.204.732,2.766.593.412,421.0,,2962204732.0,2766593412.0
- LNST chưa phân phối đến cuối năm trước,NGUỒN VỐN > - LNST chưa phân phối đến cuối năm trước,- LNST chưa phân phối đến cuối năm trước,421a,,2.766.593.412,2.727.397.449,,,2766593412.0,2727397449.0
- LNST năm nay,NGUỒN VỐN > - LNST năm nay,- LNST năm nay,421b,,195.611.320,39.195.963,,,195611320.0,39195963.0
Lợi ích cổ đông không kiểm soát,NGUỒN VỐN > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,120.925.344,66.842.804,429.0,,120925344.0,66842804.0
TỔNG NGUỒN VỐN (440 = 300 + 400),NGUỒN VỐN > TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,39.351.197.182,40.108.847.814,440.0,,39351197182.0,40108847814.0
