row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vận tảivà thiết bị truyền dẫn,Thiết bịvăn phòng,Tài sảncổ định khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vận tảivà thiết bị truyền dẫn,numeric__Thiết bịvăn phòng,numeric__Tài sảncổ định khác,numeric__Tổng cộng
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.795.536.708.585,3.698.959.133.023,667.496.555.167,262.344.148.343,23.456.341.369.205,31.880.677.914.323,3795536708585.0,3698959133023.0,667496555167.0,262344148343.0,23456341369205.0,31880677914323.0
Trích khấu hao/hao mòn trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao/hao mòn trong năm,Trích khấu hao/hao mòn trong năm,549.317.195.866,619.267.768.080,37.424.310.381,34.043.409.906,1.349.399.200.249,2.589.451.884.482,549317195866.0,619267768080.0,37424310381.0,34043409906.0,1349399200249.0,2589451884482.0
Giảm do không còn nằm giữ quyền kiểm soát tại Công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do không còn nằm giữ quyền kiểm soát tại Công ty con,Giảm do không còn nằm giữ quyền kiểm soát tại Công ty con,(278.426.359.712),(945.445.143.625),(26.094.300.270),(6.299.885.066),(104.658.514.034),(1.360.924.202.707),-278426359712.0,-945445143625.0,-26094300270.0,-6299885066.0,-104658514034.0,-1360924202707.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.425.460.555),(10.776.604.048),(476.812.818),(17.469.814.396),(269.472.727),(33.418.164.544),-4425460555.0,-10776604048.0,-476812818.0,-17469814396.0,-269472727.0,-33418164544.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,49.803.979.410,(48.349.829.435),(1.138.780.630),(903.353.800),587.984.455,-,49803979410.0,-48349829435.0,-1138780630.0,-903353800.0,587984455.0,
Tăng/(Giảm) khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,(22.312.588),-,68.061.948,-,45.749.360,,-22312588.0,,68061948.0,,45749360.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,4.111.806.063.594,3.313.633.011.407,677.210.971.830,271.782.566.935,24.701.400.567.148,33.075.833.180.914,4111806063594.0,3313633011407.0,677210971830.0,271782566935.0,24701400567148.0,33075833180914.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,4.359.564.586.522,6.347.415.594.912,192.875.884.507,81.843.788.494,7.167.300.594.084,18.149.000.448.519,4359564586522.0,6347415594912.0,192875884507.0,81843788494.0,7167300594084.0,18149000448519.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.622.489.055.835,5.554.432.530.187,179.821.847.032,89.235.740.256,5.991.786.916.255,15.437.766.089.565,3622489055835.0,5554432530187.0,179821847032.0,89235740256.0,5991786916255.0,15437766089565.0
