row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn","Thiết bị, dụng cụquản lý",Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Đơn vị tính: VNDTổng cộng
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,606.891.232.107,942.555.417.611,604.637.260.353,23.983.417.233,2.178.067.327.304,606891232107.0,942555417611.0,604637260353.0,23983417233.0,2178067327304.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,127.809.673.660,170.969.005.834,62.848.231.036,3.804.981.278,365.431.891.808,127809673660.0,170969005834.0,62848231036.0,3804981278.0,365431891808.0
- Tăng/(giảm) do hợp nhất kinh doanh,Giá trị khấu hao lũy kế: > - Tăng/(giảm) do hợp nhất kinh doanh,- Tăng/(giảm) do hợp nhất kinh doanh,770.466.123.837,81.840.192.948,(1.693.866.055),(100.870.285),850.511.580.445,770466123837.0,81840192948.0,-1693866055.0,-100870285.0,850511580445.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(12.673.405.983),(8.768.105.480),(16.495.443.043),(965.654.669),(38.902.609.175),-12673405983.0,-8768105480.0,-16495443043.0,-965654669.0,-38902609175.0
- Phân loại sang bắt động sản đầu tư,Giá trị khấu hao lũy kế: > - Phân loại sang bắt động sản đầu tư,- Phân loại sang bắt động sản đầu tư,(1.255.393.153),(485.053.503),-,(2.421.731.616),(4.162.178.272),-1255393153.0,-485053503.0,,-2421731616.0,-4162178272.0
- Tăng/(giảm) do phân loại lại,Giá trị khấu hao lũy kế: > - Tăng/(giảm) do phân loại lại,- Tăng/(giảm) do phân loại lại,-,(39.877.830),-,39.877.830,-,,-39877830.0,,39877830.0,
- Tăng khác,Giá trị khấu hao lũy kế: > - Tăng khác,- Tăng khác,-,-,(29.251.966),2.042.560,(27.209.406),,,-29251966.0,2042560.0,-27209406.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,1.491.238.230.468,1.186.071.579.580,649.266.930.325,24.342.062.331,3.350.918.802.704,1491238230468.0,1186071579580.0,649266930325.0,24342062331.0,3350918802704.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,1.543.041.293.721,1.031.995.385.383,283.171.505.483,22.705.415.919,2.880.913.600.506,1543041293721.0,1031995385383.0,283171505483.0,22705415919.0,2880913600506.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,2.381.106.616.970,1.254.316.911.591,304.333.584.429,17.496.097.520,3.957.253.210.510,2381106616970.0,1254316911591.0,304333584429.0,17496097520.0,3957253210510.0
