row_label_raw,row_label_full,col_0,Mối quan hệ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Năm nay,numeric__Năm trước
Chuyển tiền hợp tác đầu tư,Chuyển tiền hợp tác đầu tư,Chuyển tiền hợp tác đầu tư,Chuyển tiền hợp tác đầu tư,Chuyển tiền hợp tác đầu tư,Chuyển tiền hợp tác đầu tư,,,
Công ty CP FIT COSMETICS,Chuyển tiền hợp tác đầu tư > Công ty CP FIT COSMETICS,Công ty CP FIT COSMETICS,Công ty liên kết,875.000.000,860.000.000,,875000000.0,860000000.0
Tiền thu từ cổ tức nhận được,Tiền thu từ cổ tức nhận được,Tiền thu từ cổ tức nhận được,Tiền thu từ cổ tức nhận được,Tiền thu từ cổ tức nhận được,Tiền thu từ cổ tức nhận được,,,
Công ty CP Dược Phẩm Cửu Long,Tiền thu từ cổ tức nhận được > Công ty CP Dược Phẩm Cửu Long,Công ty CP Dược Phẩm Cửu Long,Công ty con cấp 1,21.201.308.000,15.000.000.000,,21201308000.0,15000000000.0
Công ty TNHH Xuất nhập khẩu và TM F.I.T Việt Nam,Tiền thu từ cổ tức nhận được > Công ty TNHH Xuất nhập khẩu và TM F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và TM F.I.T Việt Nam,Công ty con cấp 1,-,15.000.000.000,,,15000000000.0
Tiền thu lãi từ hợp đồng hợp tác đầu tư,Tiền thu lãi từ hợp đồng hợp tác đầu tư,Tiền thu lãi từ hợp đồng hợp tác đầu tư,Tiền thu lãi từ hợp đồng hợp tác đầu tư,Tiền thu lãi từ hợp đồng hợp tác đầu tư,Tiền thu lãi từ hợp đồng hợp tác đầu tư,,,
Công ty CP đầu tư Bất Đông Sản F.I.T,Tiền thu lãi từ hợp đồng hợp tác đầu tư > Công ty CP đầu tư Bất Đông Sản F.I.T,Công ty CP đầu tư Bất Đông Sản F.I.T,Công ty con cấp 1,9.666.705.053,956.271.385,,9666705053.0,956271385.0
Công ty CP chứng khoán Đại Nam,Tiền thu lãi từ hợp đồng hợp tác đầu tư > Công ty CP chứng khoán Đại Nam,Công ty CP chứng khoán Đại Nam,Công ty liên kết,8.383.561.643,388.052.777,,8383561643.0,388052777.0
Công ty CP Today Cosmetics,Tiền thu lãi từ hợp đồng hợp tác đầu tư > Công ty CP Today Cosmetics,Công ty CP Today Cosmetics,Bên liên quan,501.534.246,-,,501534246.0,
Tiền góp vốn vào bên liên quan,Tiền góp vốn vào bên liên quan,Tiền góp vốn vào bên liên quan,Tiền góp vốn vào bên liên quan,Tiền góp vốn vào bên liên quan,Tiền góp vốn vào bên liên quan,,,
Công ty CP Dược phẩm Cửu Long,Tiền góp vốn vào bên liên quan > Công ty CP Dược phẩm Cửu Long,Công ty CP Dược phẩm Cửu Long,Công ty con cấp 1,95.074.950.164,-,,95074950164.0,
Công ty CP chứng khoán Đại Nam,Tiền góp vốn vào bên liên quan > Công ty CP chứng khoán Đại Nam,Công ty CP chứng khoán Đại Nam,Công ty liên kết,36.126.550.164,-,,36126550164.0,
