row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33),Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33)_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33),numeric__Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33)_1
Thành phẩm,Thành phẩm,Thành phẩm,121.704.809.009,(4.730.277.756),66.927.967.511,(4.359.390.162),121704809009.0,-4730277756.0,66927967511.0,-4359390162.0
Hàng hóa,Hàng hóa,Hàng hóa,16.670.460.395,(1.390.386.764),20.552.372.289,-,16670460395.0,-1390386764.0,20552372289.0,
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,6.502.466.513,-,3.654.263.128,-,6502466513.0,,3654263128.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.228.659.581.047,(76.586.883.841),1.522.726.721.389,(48.376.720.341),1228659581047.0,-76586883841.0,1522726721389.0,-48376720341.0
"Hàng tồn kho đã được dùng để thế chấp nhằm đảm bảo cho các khoản vay của Công ty (Thuyết minh số 21)(*) Theo hợp đồng chuyển nhượng quyền sử dụng đất ngày 7 tháng 1 năm 2008, Công ty nhận chuyển nhượng quyền sử dụng đất của các Thừa đất số 77, 78A, 79A và 80A có tổng diện tích là 10.320 \( m^{2} \) tọa lạc tại Áp Đông Chiêu, Xã Tân Đông Hiệp, Huyện Dĩ An, Tĩnh Bình Dương từ Ông Phạm Hoài Nam với tổng giá trị là 33.500.000.000 VND. Sau đó, Công ty ký kết thỏa thuận chi phí bồi thường, hỗ trợ về đất và tài sản gắn liền với đất số 01-2014/TTBT-TTF với Công ty Cổ phần Địa ốc Đại Á (“Địa ốc Đại Á”) ngày 19 tháng 7 năm 2014, Công ty nhận tiền bồi thường liên quan đến các thừa đất này với giá trị là 22.000.000.000 VND. Tại ngày 31 tháng 12 năm 2016, các thủ tục liên quan đến việc nhận chuyển nhượng từ Ông Phạm Hoài Nam và chuyển nhượng lại cho Địa ốc Đại Á vẫn chưa được Công ty hoàn thành.Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:","Hàng tồn kho đã được dùng để thế chấp nhằm đảm bảo cho các khoản vay của Công ty (Thuyết minh số 21)(*) Theo hợp đồng chuyển nhượng quyền sử dụng đất ngày 7 tháng 1 năm 2008, Công ty nhận chuyển nhượng quyền sử dụng đất của các Thừa đất số 77, 78A, 79A và 80A có tổng diện tích là 10.320 \( m^{2} \) tọa lạc tại Áp Đông Chiêu, Xã Tân Đông Hiệp, Huyện Dĩ An, Tĩnh Bình Dương từ Ông Phạm Hoài Nam với tổng giá trị là 33.500.000.000 VND. Sau đó, Công ty ký kết thỏa thuận chi phí bồi thường, hỗ trợ về đất và tài sản gắn liền với đất số 01-2014/TTBT-TTF với Công ty Cổ phần Địa ốc Đại Á (“Địa ốc Đại Á”) ngày 19 tháng 7 năm 2014, Công ty nhận tiền bồi thường liên quan đến các thừa đất này với giá trị là 22.000.000.000 VND. Tại ngày 31 tháng 12 năm 2016, các thủ tục liên quan đến việc nhận chuyển nhượng từ Ông Phạm Hoài Nam và chuyển nhượng lại cho Địa ốc Đại Á vẫn chưa được Công ty hoàn thành.Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:","Hàng tồn kho đã được dùng để thế chấp nhằm đảm bảo cho các khoản vay của Công ty (Thuyết minh số 21)(*) Theo hợp đồng chuyển nhượng quyền sử dụng đất ngày 7 tháng 1 năm 2008, Công ty nhận chuyển nhượng quyền sử dụng đất của các Thừa đất số 77, 78A, 79A và 80A có tổng diện tích là 10.320 \( m^{2} \) tọa lạc tại Áp Đông Chiêu, Xã Tân Đông Hiệp, Huyện Dĩ An, Tĩnh Bình Dương từ Ông Phạm Hoài Nam với tổng giá trị là 33.500.000.000 VND. Sau đó, Công ty ký kết thỏa thuận chi phí bồi thường, hỗ trợ về đất và tài sản gắn liền với đất số 01-2014/TTBT-TTF với Công ty Cổ phần Địa ốc Đại Á (“Địa ốc Đại Á”) ngày 19 tháng 7 năm 2014, Công ty nhận tiền bồi thường liên quan đến các thừa đất này với giá trị là 22.000.000.000 VND. Tại ngày 31 tháng 12 năm 2016, các thủ tục liên quan đến việc nhận chuyển nhượng từ Ông Phạm Hoài Nam và chuyển nhượng lại cho Địa ốc Đại Á vẫn chưa được Công ty hoàn thành.Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:","Hàng tồn kho đã được dùng để thế chấp nhằm đảm bảo cho các khoản vay của Công ty (Thuyết minh số 21)(*) Theo hợp đồng chuyển nhượng quyền sử dụng đất ngày 7 tháng 1 năm 2008, Công ty nhận chuyển nhượng quyền sử dụng đất của các Thừa đất số 77, 78A, 79A và 80A có tổng diện tích là 10.320 \( m^{2} \) tọa lạc tại Áp Đông Chiêu, Xã Tân Đông Hiệp, Huyện Dĩ An, Tĩnh Bình Dương từ Ông Phạm Hoài Nam với tổng giá trị là 33.500.000.000 VND. Sau đó, Công ty ký kết thỏa thuận chi phí bồi thường, hỗ trợ về đất và tài sản gắn liền với đất số 01-2014/TTBT-TTF với Công ty Cổ phần Địa ốc Đại Á (“Địa ốc Đại Á”) ngày 19 tháng 7 năm 2014, Công ty nhận tiền bồi thường liên quan đến các thừa đất này với giá trị là 22.000.000.000 VND. Tại ngày 31 tháng 12 năm 2016, các thủ tục liên quan đến việc nhận chuyển nhượng từ Ông Phạm Hoài Nam và chuyển nhượng lại cho Địa ốc Đại Á vẫn chưa được Công ty hoàn thành.Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:","Hàng tồn kho đã được dùng để thế chấp nhằm đảm bảo cho các khoản vay của Công ty (Thuyết minh số 21)(*) Theo hợp đồng chuyển nhượng quyền sử dụng đất ngày 7 tháng 1 năm 2008, Công ty nhận chuyển nhượng quyền sử dụng đất của các Thừa đất số 77, 78A, 79A và 80A có tổng diện tích là 10.320 \( m^{2} \) tọa lạc tại Áp Đông Chiêu, Xã Tân Đông Hiệp, Huyện Dĩ An, Tĩnh Bình Dương từ Ông Phạm Hoài Nam với tổng giá trị là 33.500.000.000 VND. Sau đó, Công ty ký kết thỏa thuận chi phí bồi thường, hỗ trợ về đất và tài sản gắn liền với đất số 01-2014/TTBT-TTF với Công ty Cổ phần Địa ốc Đại Á (“Địa ốc Đại Á”) ngày 19 tháng 7 năm 2014, Công ty nhận tiền bồi thường liên quan đến các thừa đất này với giá trị là 22.000.000.000 VND. Tại ngày 31 tháng 12 năm 2016, các thủ tục liên quan đến việc nhận chuyển nhượng từ Ông Phạm Hoài Nam và chuyển nhượng lại cho Địa ốc Đại Á vẫn chưa được Công ty hoàn thành.Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:","Hàng tồn kho đã được dùng để thế chấp nhằm đảm bảo cho các khoản vay của Công ty (Thuyết minh số 21)(*) Theo hợp đồng chuyển nhượng quyền sử dụng đất ngày 7 tháng 1 năm 2008, Công ty nhận chuyển nhượng quyền sử dụng đất của các Thừa đất số 77, 78A, 79A và 80A có tổng diện tích là 10.320 \( m^{2} \) tọa lạc tại Áp Đông Chiêu, Xã Tân Đông Hiệp, Huyện Dĩ An, Tĩnh Bình Dương từ Ông Phạm Hoài Nam với tổng giá trị là 33.500.000.000 VND. Sau đó, Công ty ký kết thỏa thuận chi phí bồi thường, hỗ trợ về đất và tài sản gắn liền với đất số 01-2014/TTBT-TTF với Công ty Cổ phần Địa ốc Đại Á (“Địa ốc Đại Á”) ngày 19 tháng 7 năm 2014, Công ty nhận tiền bồi thường liên quan đến các thừa đất này với giá trị là 22.000.000.000 VND. Tại ngày 31 tháng 12 năm 2016, các thủ tục liên quan đến việc nhận chuyển nhượng từ Ông Phạm Hoài Nam và chuyển nhượng lại cho Địa ốc Đại Á vẫn chưa được Công ty hoàn thành.Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:","Hàng tồn kho đã được dùng để thế chấp nhằm đảm bảo cho các khoản vay của Công ty (Thuyết minh số 21)(*) Theo hợp đồng chuyển nhượng quyền sử dụng đất ngày 7 tháng 1 năm 2008, Công ty nhận chuyển nhượng quyền sử dụng đất của các Thừa đất số 77, 78A, 79A và 80A có tổng diện tích là 10.320 \( m^{2} \) tọa lạc tại Áp Đông Chiêu, Xã Tân Đông Hiệp, Huyện Dĩ An, Tĩnh Bình Dương từ Ông Phạm Hoài Nam với tổng giá trị là 33.500.000.000 VND. Sau đó, Công ty ký kết thỏa thuận chi phí bồi thường, hỗ trợ về đất và tài sản gắn liền với đất số 01-2014/TTBT-TTF với Công ty Cổ phần Địa ốc Đại Á (“Địa ốc Đại Á”) ngày 19 tháng 7 năm 2014, Công ty nhận tiền bồi thường liên quan đến các thừa đất này với giá trị là 22.000.000.000 VND. Tại ngày 31 tháng 12 năm 2016, các thủ tục liên quan đến việc nhận chuyển nhượng từ Ông Phạm Hoài Nam và chuyển nhượng lại cho Địa ốc Đại Á vẫn chưa được Công ty hoàn thành.Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:",,,,
,,,,,Năm nay,VNDNăm trước(Dã điều chỉnh lại – Thuyết minh số 33),,,,
Số đầu năm,"Hàng tồn kho đã được dùng để thế chấp nhằm đảm bảo cho các khoản vay của Công ty (Thuyết minh số 21)(*) Theo hợp đồng chuyển nhượng quyền sử dụng đất ngày 7 tháng 1 năm 2008, Công ty nhận chuyển nhượng quyền sử dụng đất của các Thừa đất số 77, 78A, 79A và 80A có tổng diện tích là 10.320 \( m^{2} \) tọa lạc tại Áp Đông Chiêu, Xã Tân Đông Hiệp, Huyện Dĩ An, Tĩnh Bình Dương từ Ông Phạm Hoài Nam với tổng giá trị là 33.500.000.000 VND. Sau đó, Công ty ký kết thỏa thuận chi phí bồi thường, hỗ trợ về đất và tài sản gắn liền với đất số 01-2014/TTBT-TTF với Công ty Cổ phần Địa ốc Đại Á (“Địa ốc Đại Á”) ngày 19 tháng 7 năm 2014, Công ty nhận tiền bồi thường liên quan đến các thừa đất này với giá trị là 22.000.000.000 VND. Tại ngày 31 tháng 12 năm 2016, các thủ tục liên quan đến việc nhận chuyển nhượng từ Ông Phạm Hoài Nam và chuyển nhượng lại cho Địa ốc Đại Á vẫn chưa được Công ty hoàn thành.Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho: > Số đầu năm",Số đầu năm,Số đầu năm,Số đầu năm,(48.376.720.341),(7.372.860.741),,,-48376720341.0,-7372860741.0
Tăng do nhận sáp nhập,"Hàng tồn kho đã được dùng để thế chấp nhằm đảm bảo cho các khoản vay của Công ty (Thuyết minh số 21)(*) Theo hợp đồng chuyển nhượng quyền sử dụng đất ngày 7 tháng 1 năm 2008, Công ty nhận chuyển nhượng quyền sử dụng đất của các Thừa đất số 77, 78A, 79A và 80A có tổng diện tích là 10.320 \( m^{2} \) tọa lạc tại Áp Đông Chiêu, Xã Tân Đông Hiệp, Huyện Dĩ An, Tĩnh Bình Dương từ Ông Phạm Hoài Nam với tổng giá trị là 33.500.000.000 VND. Sau đó, Công ty ký kết thỏa thuận chi phí bồi thường, hỗ trợ về đất và tài sản gắn liền với đất số 01-2014/TTBT-TTF với Công ty Cổ phần Địa ốc Đại Á (“Địa ốc Đại Á”) ngày 19 tháng 7 năm 2014, Công ty nhận tiền bồi thường liên quan đến các thừa đất này với giá trị là 22.000.000.000 VND. Tại ngày 31 tháng 12 năm 2016, các thủ tục liên quan đến việc nhận chuyển nhượng từ Ông Phạm Hoài Nam và chuyển nhượng lại cho Địa ốc Đại Á vẫn chưa được Công ty hoàn thành.Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho: > Tăng do nhận sáp nhập",Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,(5.221.519.046),-,,,-5221519046.0,
Dự phòng trích lập trong năm,"Hàng tồn kho đã được dùng để thế chấp nhằm đảm bảo cho các khoản vay của Công ty (Thuyết minh số 21)(*) Theo hợp đồng chuyển nhượng quyền sử dụng đất ngày 7 tháng 1 năm 2008, Công ty nhận chuyển nhượng quyền sử dụng đất của các Thừa đất số 77, 78A, 79A và 80A có tổng diện tích là 10.320 \( m^{2} \) tọa lạc tại Áp Đông Chiêu, Xã Tân Đông Hiệp, Huyện Dĩ An, Tĩnh Bình Dương từ Ông Phạm Hoài Nam với tổng giá trị là 33.500.000.000 VND. Sau đó, Công ty ký kết thỏa thuận chi phí bồi thường, hỗ trợ về đất và tài sản gắn liền với đất số 01-2014/TTBT-TTF với Công ty Cổ phần Địa ốc Đại Á (“Địa ốc Đại Á”) ngày 19 tháng 7 năm 2014, Công ty nhận tiền bồi thường liên quan đến các thừa đất này với giá trị là 22.000.000.000 VND. Tại ngày 31 tháng 12 năm 2016, các thủ tục liên quan đến việc nhận chuyển nhượng từ Ông Phạm Hoài Nam và chuyển nhượng lại cho Địa ốc Đại Á vẫn chưa được Công ty hoàn thành.Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho: > Dự phòng trích lập trong năm",Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,(22.988.644.454),(41.003.859.600),,,-22988644454.0,-41003859600.0
Số cuối năm,"Hàng tồn kho đã được dùng để thế chấp nhằm đảm bảo cho các khoản vay của Công ty (Thuyết minh số 21)(*) Theo hợp đồng chuyển nhượng quyền sử dụng đất ngày 7 tháng 1 năm 2008, Công ty nhận chuyển nhượng quyền sử dụng đất của các Thừa đất số 77, 78A, 79A và 80A có tổng diện tích là 10.320 \( m^{2} \) tọa lạc tại Áp Đông Chiêu, Xã Tân Đông Hiệp, Huyện Dĩ An, Tĩnh Bình Dương từ Ông Phạm Hoài Nam với tổng giá trị là 33.500.000.000 VND. Sau đó, Công ty ký kết thỏa thuận chi phí bồi thường, hỗ trợ về đất và tài sản gắn liền với đất số 01-2014/TTBT-TTF với Công ty Cổ phần Địa ốc Đại Á (“Địa ốc Đại Á”) ngày 19 tháng 7 năm 2014, Công ty nhận tiền bồi thường liên quan đến các thừa đất này với giá trị là 22.000.000.000 VND. Tại ngày 31 tháng 12 năm 2016, các thủ tục liên quan đến việc nhận chuyển nhượng từ Ông Phạm Hoài Nam và chuyển nhượng lại cho Địa ốc Đại Á vẫn chưa được Công ty hoàn thành.Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho: > Số cuối năm",Số cuối năm,Số cuối năm,Số cuối năm,(76.586.883.841),(48.376.720.341),,,-76586883841.0,-48376720341.0
