row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Đã điều chỉnh lại – Thuyết minh số 33),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Đã điều chỉnh lại – Thuyết minh số 33)
11,11,11,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động Giảm (tăng) các khoản phải thu Giảm (tăng) hàng tồn kho Giảm các khoản phải trả Giảm (tăng) chi phí trả trước Tiền lãi vay đã trả Thuế thu nhập doanh nghiệp đã nộp Tiền chỉ khác cho hoạt động kinh doanh,,(1.018.623.905.853)254.330.110.656365.541.934.423(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),254.196.108.192(109.794.022.298)(171.570.398.040)(139.392.208.077)(36.230.011.940)(17.912.924.682)-,,,,
12,12,12,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động Giảm (tăng) các khoản phải thu Giảm (tăng) hàng tồn kho Giảm các khoản phải trả Giảm (tăng) chi phí trả trước Tiền lãi vay đã trả Thuế thu nhập doanh nghiệp đã nộp Tiền chỉ khác cho hoạt động kinh doanh,,(1.018.623.905.853)254.330.110.656365.541.934.423(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),254.196.108.192(109.794.022.298)(171.570.398.040)(139.392.208.077)(36.230.011.940)(17.912.924.682)-,,,,
14,14,14,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động Giảm (tăng) các khoản phải thu Giảm (tăng) hàng tồn kho Giảm các khoản phải trả Giảm (tăng) chi phí trả trước Tiền lãi vay đã trả Thuế thu nhập doanh nghiệp đã nộp Tiền chỉ khác cho hoạt động kinh doanh,,(1.018.623.905.853)254.330.110.656365.541.934.423(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),254.196.108.192(109.794.022.298)(171.570.398.040)(139.392.208.077)(36.230.011.940)(17.912.924.682)-,,,,
15,15,15,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động Giảm (tăng) các khoản phải thu Giảm (tăng) hàng tồn kho Giảm các khoản phải trả Giảm (tăng) chi phí trả trước Tiền lãi vay đã trả Thuế thu nhập doanh nghiệp đã nộp Tiền chỉ khác cho hoạt động kinh doanh,,(1.018.623.905.853)254.330.110.656365.541.934.423(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),254.196.108.192(109.794.022.298)(171.570.398.040)(139.392.208.077)(36.230.011.940)(17.912.924.682)-,,,,
17,17,17,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động Giảm (tăng) các khoản phải thu Giảm (tăng) hàng tồn kho Giảm các khoản phải trả Giảm (tăng) chi phí trả trước Tiền lãi vay đã trả Thuế thu nhập doanh nghiệp đã nộp Tiền chỉ khác cho hoạt động kinh doanh,,(1.018.623.905.853)254.330.110.656365.541.934.423(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),254.196.108.192(109.794.022.298)(171.570.398.040)(139.392.208.077)(36.230.011.940)(17.912.924.682)-,,,,
20,17 > 20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(810.398.205.842),(221.010.306.845),,,-810398205842.0,-221010306845.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,,,,
21,17 > 21,21,"Tiền chỉ để mua sắm, xây dựng tài sản cố định",,(68.238.203.736),(37.338.776.755),,,-68238203736.0,-37338776755.0
22,17 > 22,22,Tiền thu do thanh lý tài sản cố định,,1.179.084.119,11.805.600.000,,,1179084119.0,11805600000.0
23,17 > 23,23,Tiền chỉ cho vay và gửi ngân hàng có kỳ hạn,,(137.431.280.415),(598.842.726.536),,,-137431280415.0,-598842726536.0
24,17 > 24,24,Thu hồi tiền gửi ngân hàng có kỳ hạn và thu hồi tiền cho vay,,189.285.314.260,335.231.253.160,,,189285314260.0,335231253160.0
25,17 > 25,25,Tiền chỉ đầu tư góp vốn vào các đơn vị khác,,-,(26.150.000.000),,,,-26150000000.0
26,26,26,Tiền thu từ nhận sáp nhập các công ty con và góp vốn vào đơn vị khác,,,,,,,
27,26 > 27,27,"Tiền thu lãi tiền gửi, cho vay và cổ tức nhận được",4,523.132.669,12.002.700.000,,4.0,523132669.0,12002700000.0
30,26 > 30,30,Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động đầu tư,,23.211.507.042,6.642.281.714,,,23211507042.0,6642281714.0
,,,,,8.529.553.939,(296.649.668.417),,,8529553939.0,-296649668417.0
