row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dưvốn cổ phần,Quyền chơnchuyển đổi vay,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lỗ lũy kế,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dưvốn cổ phần,numeric__Quyền chơnchuyển đổi vay,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lỗ lũy kế,numeric__Tổng cộng
Số liệu đã trình bày trước đây,Lỗ thuần trong năm > Số liệu đã trình bày trước đây,Số liệu đã trình bày trước đây,-,-,-,-,-,107.330.085.020,107.330.085.020,,,,,,107330085020.0,107330085020.0
Ảnh hưởng của các điều chỉnhhồi tố – Thuyết minh số 33,Lỗ thuần trong năm > Ảnh hưởng của các điều chỉnhhồi tố – Thuyết minh số 33,Ảnh hưởng của các điều chỉnhhồi tố – Thuyết minh số 33,-,-,-,-,-,(274.921.013.060),(274.921.013.060),,,,,,-274921013060.0,-274921013060.0
Đã điều chỉnh lại,Lỗ thuần trong năm > Đã điều chỉnh lại,Đã điều chỉnh lại,-,-,-,-,-,(167.590.928.040),(167.590.928.040),,,,,,-167590928040.0,-167590928040.0
Số cuối năm,Lỗ thuần trong năm > Số cuối năm,Số cuối năm,1.400.939.400.000,51.798.842.848,6.743.618.619,(4.640.000),16.176.475.297,(151.422.996.026),1.324.230.700.738,1400939400000.0,51798842848.0,6743618619.0,-4640000.0,16176475297.0,-151422996026.0,1324230700738.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,
Số liệu đã trình bày trước đây,Số đầu năm > Số liệu đã trình bày trước đây,Số liệu đã trình bày trước đây,1.400.939.400.000,51.798.842.848,6.743.618.619,(4.640.000),16.176.475.297,188.238.149.766,1.663.891.846.530,1400939400000.0,51798842848.0,6743618619.0,-4640000.0,16176475297.0,188238149766.0,1663891846530.0
Ảnh hưởng của các điều chỉnhhồi tố – Thuyết minh số 33,Số đầu năm > Ảnh hưởng của các điều chỉnhhồi tố – Thuyết minh số 33,Ảnh hưởng của các điều chỉnhhồi tố – Thuyết minh số 33,-,-,-,-,-,(339.661.145.792),(339.661.145.792),,,,,,-339661145792.0,-339661145792.0
Đã điều chỉnh lại,Số đầu năm > Đã điều chỉnh lại,Đã điều chỉnh lại,1.400.939.400.000,51.798.842.848,6.743.618.619,(4.640.000),16.176.475.297,(151.422.996.026),1.324.230.700.738,1400939400000.0,51798842848.0,6743618619.0,-4640000.0,16176475297.0,-151422996026.0,1324230700738.0
Lỗ thuần trong năm,Số đầu năm > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,-,(1.275.586.231.739),(1.275.586 231.739),,,,,,-1275586231739.0,
Phát hành cổ phiếu (*),Số đầu năm > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),45.139.000.000,-,-,-,-,-,45.139.000.000,45139000000.0,,,,,,45139000000.0
Tăng do nhận sáp nhập,Số đầu năm > Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,-,-,-,(548.325.000),-,-,(548.325.000),,,,-548325000.0,,,-548325000.0
Tăng vay chuyển đổi,Số đầu năm > Tăng vay chuyển đổi,Tăng vay chuyển đổi,-,-,5.208.401.000,-,-,-,5.208.401.000,,,5208401000.0,,,,5208401000.0
Vay chuyển đổi đến hạn nhưngkhông được chuyển đổi,Số đầu năm > Vay chuyển đổi đến hạn nhưngkhông được chuyển đổi,Vay chuyển đổi đến hạn nhưngkhông được chuyển đổi,-,11.952.019.619,(11.952.019.619),-,-,-,-,,11952019619.0,-11952019619.0,,,,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,1.446.078.400.000,63.750.862.467,-,(552.965.000),16.176.475.297,(1.427.009.227.765),98.443.544.999,1446078400000.0,63750862467.0,,-552965000.0,16176475297.0,-1427009227765.0,98443544999.0
