row_label_raw,row_label_full,col_0,Số liệu được trình bày trước đây,Ảnh hưởng của điều chỉnh hoặc phân loại lại,Ảnh hưởng của điều chỉnh hoặc phân loại lại_1,VND Số liệu trình bày lại,numeric__Số liệu được trình bày trước đây,numeric__Ảnh hưởng của điều chỉnh hoặc phân loại lại,numeric__Ảnh hưởng của điều chỉnh hoặc phân loại lại_1,numeric__VND Số liệu trình bày lại
Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
Lợi nhuận (lỗ) trước thuế,Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận (lỗ) trước thuế,Lợi nhuận (lỗ) trước thuế,140.110.599.954,(274.921.013.060),-,(134.810.413.106),140110599954.0,-274921013060.0,,-134810413106.0
Các khoản dự phòng,Lưu chuyển tiền từ hoạt động kinh doanh > Các khoản dự phòng,Các khoản dự phòng,22.938.901.843,263.194.269.278,-,286.133.171.121,22938901843.0,263194269278.0,,286133171121.0
Lãi chênh lệch tỷ giá hối đoái do đánh giá lại,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại,,,,
các khoản mục tiền tệ có góc ngoại tệ,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > các khoản mục tiền tệ có góc ngoại tệ,các khoản mục tiền tệ có góc ngoại tệ,(733.224.402),(11.332.295.654),-,(12.065.520.056),-733224402.0,-11332295654.0,,-12065520056.0
Chi phí lãi vay,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Chi phí lãi vay,Chi phí lãi vay,113.276.214.120,23.059.039.436,-,136.335.253.556,113276214120.0,23059039436.0,,136335253556.0
Giảm các khoản phải trả,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Giảm các khoản phải trả,Giảm các khoản phải trả,(139.699.058.077),-,306.850.000,(139.392.208.077),-139699058077.0,,306850000.0,-139392208077.0
Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,
Tiền thu từ phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ phát hành cổ phiếu,Tiền thu từ phát hành cổ phiếu,400.268.400.000,-,6.436.768.619,406.705.168.619,400268400000.0,,6436768619.0,406705168619.0
Tiền thu từ đi vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ đi vay,Tiền thu từ đi vay,1.563.085.704.766,-,(6.743.618.619),1.556.342.086.147,1563085704766.0,,-6743618619.0,1556342086147.0
