row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Đến 1 thángTriệu đồng,numeric__Từ 1 - 3 thángTriệu đồng,numeric__Từ 3 - 6 thángTriệu đồng,numeric__Từ 6 - 12 thángTriệu đồng,numeric__Từ 1 - 5 nămTriệu đồng,numeric__Trên 5 nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản cố định,Các công cụ tài chính phải sinh và các tài sản > Tài sản cố định,Tài sản cố định,-,1.506.316,-,-,-,-,-,-,1.506.316,,1506316.0,,,,,,,1506316.0
Tài sản Có khác - gộp,Các công cụ tài chính phải sinh và các tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,43.584,20.562.228,-,-,-,-,-,-,20.605.812,43584.0,20562228.0,,,,,,,20605812.0
Tổng tài sản,Các công cụ tài chính phải sinh và các tài sản > Tổng tài sản,Tổng tài sản,2.706.064,32.448.859,163.571.738,46.761.628,16.311.853,13.902.790,26.626.918,17.634.504,319.964.354,2706064.0,32448859.0,163571738.0,46761628.0,16311853.0,13902790.0,26626918.0,17634504.0,319964354.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,-,-,42,2.181,15.217,2.052,-,-,19.492,,,42.0,2181.0,15217.0,2052.0,,,19492.0
"Tiền gửi và vay các TCTC, TCTD khác","Nợ phải trả > Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác",-,-,12.582.217,7.598.788,9.020.499,2.913.687,-,-,32.115.191,,,12582217.0,7598788.0,9020499.0,2913687.0,,,32115191.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,71.945.198,45.366.753,52.878.726,31.231.719,9.560.026,1.360,210.983.782,,,71945198.0,45366753.0,52878726.0,31231719.0,9560026.0,1360.0,210983782.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,145.912,145.911,-,-,-,-,291.823,,,145912.0,145911.0,,,,,291823.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,659.985,32.628,3.947.440,387.409,21.392.784,1.000.000,27.420.246,,,659985.0,32628.0,3947440.0,387409.0,21392784.0,1000000.0,27420246.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,8.950.910,-,-,-,-,-,-,8.950.910,,8950910.0,,,,,,,8950910.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,8.950.910,85.333.354,53.146.261,65.861.882,34.534.867,30.952.810,1.001.360,279.781.444,,8950910.0,85333354.0,53146261.0,65861882.0,34534867.0,30952810.0,1001360.0,279781444.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,2.706.064,23.497.949,78.238.384,(6.384.633),(49.550.029),(20.632.077),(4.325.892),16.633.144,40.182.910,2706064.0,23497949.0,78238384.0,-6384633.0,-49550029.0,-20632077.0,-4325892.0,16633144.0,40182910.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),-,-,-,387.022,309.062,(231.611),(464.473),-,-,,,,387022.0,309062.0,-231611.0,-464473.0,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",2.706.064,23.497.949,78.238.384,(5.997.611),(49.240.967),(20.863.688),(4.790.365),16.633.144,40.182.910,2706064.0,23497949.0,78238384.0,-5997611.0,-49240967.0,-20863688.0,-4790365.0,16633144.0,40182910.0
