row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2022 Triệu đồng,Ngày 31 tháng 12 năm 2021 Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2022 Triệu đồng,numeric__Ngày 31 tháng 12 năm 2021 Triệu đồng
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,,82.465.618,75.075.497,,82465618.0,75075497.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,13.1,82.718.218,75.313.521,131.0,82718218.0,75313521.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,13.2,(252.600),(238.024),132.0,-252600.0,-238024.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",,21.563.780,5.940.728,,21563780.0,5940728.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,14.1,21.418.790,5.691.018,141.0,21418790.0,5691018.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,14.2,189.210,249.731,142.0,189210.0,249731.0
Dự phòng đầu tư dài hạn,TÀI SẢN > Dự phòng đầu tư dài hạn,Dự phòng đầu tư dài hạn,14.3,(44.220),(21),143.0,-44220.0,-21.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,1.465.260,1.445.525,,1465260.0,1445525.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15.1,1.176.376,1.169.852,151.0,1176376.0,1169852.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,2.341.330,2.186.546,,2341330.0,2186546.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(1.164.954),(1.016.694),,-1164954.0,-1016694.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15.2,288.884,275.673,152.0,288884.0,275673.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,949.497,847.724,,949497.0,847724.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(660.613),(572.051),,-660613.0,-572051.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,,47.870.386,42.768.494,,47870386.0,42768494.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,16.1,38.159.910,37.896.139,161.0,38159910.0,37896139.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",16.2,6.975.016,3.862.686,162.0,6975016.0,3862686.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.3,2.803.652,1.053.678,163.0,2803652.0,1053678.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,16.4,(68.192),(44.009),164.0,-68192.0,-44009.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,588.211.577,484.442.322,,588211577.0,484442322.0
