row_label_raw,row_label_full,col_0,Bất động sản,Sản xuất,Thương mại và dịch vụ,Xây dựng,Nông nghiệp,Năng lượng,Loại trừ,Ngân VND Tổng cộng,numeric__Bất động sản,numeric__Sản xuất,numeric__Thương mại và dịch vụ,numeric__Xây dựng,numeric__Nông nghiệp,numeric__Năng lượng,numeric__Loại trừ,numeric__Ngân VND Tổng cộng
Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,,,,,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,,,,,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,562.947.574,6.705.004.847,328.813.728,635.254.936,33.170.287.045,3.136.811.361,-,44.539.119.491,562947574.0,6705004847.0,328813728.0,635254936.0,33170287045.0,3136811361.0,,44539119491.0
Tiền,Tài sản và nợ phải trả > Tiền,Tiền,,,,,,,,337.736.719,,,,,,,,337736719.0
Đầu tư vào công ty liên kết,Tài sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,,,2.771.892.520,,,,,,,,2771892520.0
Tài sản không phân bổ,Tài sản và nợ phải trả > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,462.692.886,,,,,,,,462692886.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,,,,48.111.441.616,,,,,,,,48111441616.0
Nợ phải trả của bộ phận,Tài sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(928.303),(8.448.995.001),(51.841.968),(9.229.926),(19.857.001.631),(2.589.612.515),-,(30.957.609.344),-928303.0,-8448995001.0,-51841968.0,-9229926.0,-19857001631.0,-2589612515.0,,-30957609344.0
Nợ phải trả không phân bổ,Tài sản và nợ phải trả > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,(342.945.586),,,,,,,,-342945586.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,(31.300.554.930),,,,,,,,-31300554930.0
