row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Đến 1 thángTriệu đồng,numeric__Từ 1 - 3 thángTriệu đồng,numeric__Từ 3 - 6 thángTriệu đồng,numeric__Từ 6 - 12 thángTriệu đồng,numeric__Từ 1 - 5 nămTriệu đồng,numeric__Trên 5 nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản Có khác - gộp,Tải sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,9.518.626,-,-,-,-,-,-,9.518.626,,9518626.0,,,,,,,9518626.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,7.503.400,27.999.184,214.256.971,104.782.286,33.431.437,22.647.051,10.401.680,98.000,421.120.009,7503400.0,27999184.0,214256971.0,104782286.0,33431437.0,22647051.0,10401680.0,98000.0,421120009.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN Việt Nam,Nợ phải trả > Các khoản nợ Chính phủ và NHNN Việt Nam,Các khoản nợ Chính phủ và NHNN Việt Nam,-,-,18.028.593,-,-,-,-,-,18.028.593,,,18028593.0,,,,,,18028593.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,135.841.840,19.356.861,519.821,1.432.971,973,-,157.152.466,,,135841840.0,19356861.0,519821.0,1432971.0,973.0,,157152466.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,51.910.239,41.464.727,50.092.132,28.374.349,6.351.303,-,178.192.750,,,51910239.0,41464727.0,50092132.0,28374349.0,6351303.0,,178192750.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,526.050,525.800,1.360.508,-,-,-,2.412.358,,,526050.0,525800.0,1360508.0,,,,2412358.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.908.230,4.944.280,9.722.990,16.314.360,418.230,-,33.308.090,,,1908230.0,4944280.0,9722990.0,16314360.0,418230.0,,33308090.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,6.184.768,-,-,-,-,-,-,6.184.768,,6184768.0,,,,,,,6184768.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,6.184.768,208.214.952,66.291.668,61.695.451,46.121.680,6.770.506,-,395.279.025,,6184768.0,208214952.0,66291668.0,61695451.0,46121680.0,6770506.0,,395279025.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,7.503.400,21.814.416,6.042.019,38.490.618,(28.264.014),(23.474.629),3.631.174,98.000,25.840.984,7503400.0,21814416.0,6042019.0,38490618.0,-28264014.0,-23474629.0,3631174.0,98000.0,25840984.0
