row_label_raw,row_label_full,Chi phí lãi vay,Chi phí lãi vay_1,52.568.041.595,5.617.255.533,numeric__Chi phí lãi vay_1,numeric__52.568.041.595,numeric__5.617.255.533
Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty con,200.000.000.000,-,,200000000000.0,
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,-,163.004.700.000,,,163004700000.0
Thoái vốn,Thoái vốn,Thoái vốn,Thoái vốn,-,62.200.000.000,,,62200000000.0
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,-,62.200.000.000,,,62200000000.0
Nhận góp vốn hợp tác đầu tư,Nhận góp vốn hợp tác đầu tư,Nhận góp vốn hợp tác đầu tư,Nhận góp vốn hợp tác đầu tư,286.000.000.000,184.000.000.000,,286000000000.0,184000000000.0
Ông Trần Văn Hải,Ông Trần Văn Hải,Ông Trần Văn Hải,Cổ đông,190.000.000.000,-,,190000000000.0,
Công ty TNHH Capella Group,Công ty TNHH Capella Group,Công ty TNHH Capella Group,Cổ đông,96.000.000.000,-,,96000000000.0,
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,-,184.000.000.000,,,184000000000.0
Lãi hợp tác đầu tư phải trả,Lãi hợp tác đầu tư phải trả,Lãi hợp tác đầu tư phải trả,Lãi hợp tác đầu tư phải trả,10.827.967.123,10.832.569.863,,10827967123.0,10832569863.0
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,10.827.967.123,10.832.569.863,,10827967123.0,10832569863.0
Nhận nợ vay,Nhận nợ vay,Nhận nợ vay,Nhận nợ vay,756.500.000.000,552.274.000.000,,756500000000.0,552274000000.0
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,20.000.000.000,4.000.000.000,,20000000000.0,4000000000.0
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,-,40.000.000.000,,,40000000000.0
Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty con,70.000.000.000,-,,70000000000.0,
Công ty TNHH Sacom Chip Sáng,Công ty TNHH Sacom Chip Sáng,Công ty TNHH Sacom Chip Sáng,Công ty con,32.000.000.000,4.500.000.000,,32000000000.0,4500000000.0
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty con,-,5.000.000.000,,,5000000000.0
Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty con,424.500.000.000,-,,424500000000.0,
Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty con,-,468.774.000.000,,,468774000000.0
Ông Trần Văn Hải,Ông Trần Văn Hải,Ông Trần Văn Hải,Cổ đông,190.000.000.000,30.000.000.000,,190000000000.0,30000000000.0
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,20.000.000.000,-,,20000000000.0,
Trả nợ vay,Trả nợ vay,Trả nợ vay,Trả nợ vay,438.500.000.000,74.000.000.000,,438500000000.0,74000000000.0
Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty con,2.000.000.000,-,,2000000000.0,
Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty con,136.500.000.000,-,,136500000000.0,
Công ty TNHH Sacom Chip Sáng,Công ty TNHH Sacom Chip Sáng,Công ty TNHH Sacom Chip Sáng,Công ty con,20.000.000.000,-,,20000000000.0,
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,70.000.000.000,4.000.000.000,,70000000000.0,4000000000.0
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,-,40.000.000.000,,,40000000000.0
Ông Trần Văn Hải,Ông Trần Văn Hải,Ông Trần Văn Hải,Cổ đông,190.000.000.000,30.000.000.000,,190000000000.0,30000000000.0
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,20.000.000.000,-,,20000000000.0,
