row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thếng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chính lệch đánh giá lại tài sản (*) VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Ngườn vốn đầu tư xây dựng cơ bản VND,Lợi ích cổ đông không kiểm soát VND,Tổng vốn chủ sở hữu VND,Ngườn kinh phí và các quỹ khác VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thếng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chính lệch đánh giá lại tài sản (*) VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Ngườn vốn đầu tư xây dựng cơ bản VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng vốn chủ sở hữu VND,numeric__Ngườn kinh phí và các quỹ khác VND,numeric__Tổng cộng VND
Các biển đồng khác về vốn chủ sở hữu,Các biển đồng khác về vốn chủ sở hữu,Các biển đồng khác về vốn chủ sở hữu,-,-,458.100,-,-,-,-,-,-,-,-,,,458100.0,,,,,,,,
Số dư tại ngày 1/1/2024 – đã điều chỉnh lại,Số dư tại ngày 1/1/2024 – đã điều chỉnh lại,Số dư tại ngày 1/1/2024 – đã điều chỉnh lại,5.000.000.000.000,30.361.932.352,214.733.466.584,(747.830.122.185),777.414.063.148,852.462.153.175,543.092.845.095,2.406.730.447.445,9.076.964.785.614,20.172.889.902,9.097.137.675.516,5000000000000.0,30361932352.0,214733466584.0,-747830122185.0,777414063148.0,852462153175.0,543092845095.0,2406730447445.0,9076964785614.0,20172889902.0,9097137675516.0
Số dư tại ngày 1/1/2024 – đã hội cốc trước đáy,Số dư tại ngày 1/1/2024 – đã hội cốc trước đáy,Số dư tại ngày 1/1/2024 – đã hội cốc trước đáy,5.000.000.000.000,30.361.932.352,214.733.466.584,(747.830.122.185),777.414.063.148,874.895.018.691(22.432.865.516),543.092.845.095,2.429.073.760.603(22.343.313.138),9.121.740.954.268(44.776.178.674),20.172.889.902,9.141.913.854.190(44.776.178.674),5000000000000.0,30361932352.0,214733466584.0,-747830122185.0,777414063148.0,,543092845095.0,,,20172889902.0,
Điều chỉnh lại – Thôngy minh 46,Điều chỉnh lại – Thôngy minh 46,Điều chỉnh lại – Thôngy minh 46,-,-,-,-,-,(2.328.450.000),-,538.000.000,-,-,-,,,,,,-2328450000.0,,538000000.0,,,
Chưa cổ tác bằng cổ phiếu tại công ty con,Chưa cổ tác bằng cổ phiếu tại công ty con,Chưa cổ tác bằng cổ phiếu tại công ty con,-,-,1.790.450.000,-,-,-,-,360.000.000,360.000.000,-,360.000.000,,,1790450000.0,,,,,360000000.0,360000000.0,,360000000.0
Tăng vốn,Tăng vốn,Tăng vốn,-,-,-,-,-,-,-,331.055.586.840,655.438.523.394,-,655.438.523.394,,,,,,,,331055586840.0,655438523394.0,,655438523394.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,60.674.886.394,(60.974.886.394),-,-,-,-,-,,,,,60674886394.0,-60974886394.0,,,,,
Phân bổ quý passes tư phát triển,Phân bổ quý passes tư phát triển,Phân bổ quý passes tư phát triển,-,-,300.000.000,-,-,(44.260.271.450),-,(29.081.219.440),(73.341.490.890),-,(73.341.490.890),,,300000000.0,,,-44260271450.0,,-29081219440.0,-73341490890.0,,-73341490890.0
"Phân bổ vào quỹ khhen thưởng, phúc lợi","Phân bổ vào quỹ khhen thưởng, phúc lợi","Phân bổ vào quỹ khhen thưởng, phúc lợi",-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
Giam do thơi vốn đầu tư vào các công ty con,"Phân bổ vào quỹ khhen thưởng, phúc lợi > Giam do thơi vốn đầu tư vào các công ty con",Giam do thơi vốn đầu tư vào các công ty con,-,-,-,-,(13.134.346.201),13.134.346.201(3.253.722.317),-,725.906.069,725.906.069(3.253.722.317),-,725.906.069(3.253.722.317),,,,,-13134346201.0,,,725906069.0,,,
Giam ty lệ sở hữu tại các công ty liên kết,"Phân bổ vào quỹ khhen thưởng, phúc lợi > Giam ty lệ sở hữu tại các công ty liên kết",Giam ty lệ sở hữu tại các công ty liên kết,-,-,-,-,-,-,-,-,-,(858.666.915),(858.666.915),,,,,,,,,,-858666915.0,-858666915.0
Sử dụng các quỹ,"Phân bổ vào quỹ khhen thưởng, phúc lợi > Sử dụng các quỹ",Sử dụng các quỹ,-,-,-,-,-,(150.000.000.000),-,(251.429.938.893),(401.429.938.893),-,(401.429.938.893),,,,,,-150000000000.0,,-251429938893.0,-401429938893.0,,-401429938893.0
Có tức,"Phân bổ vào quỹ khhen thưởng, phúc lợi > Có tức",Có tức,-,-,-,-,-,1.759.852.182,-,(195.679.114),1.564.173.068,-,1.564.173.068,,,,,,1759852182.0,,-195679114.0,1564173068.0,,1564173068.0
Các biển đồng khác về vốn chủ sở hữu,Các biển đồng khác về vốn chủ sở hữu,Các biển đồng khác về vốn chủ sở hữu,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
Số dư tại ngày 31/12/2024,Các biển đồng khác về vốn chủ sở hữu > Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,5.000.000.000.000,30.361.932.352,216.823.916.584,(747.830.122.185),824.954.603.341,930.921.957.951,543.092.845.095,2.458.703.102.907,9.257.028.236.045,19.314.222.987,9.276.342.459.032,5000000000000.0,30361932352.0,216823916584.0,-747830122185.0,824954603341.0,930921957951.0,543092845095.0,2458703102907.0,9257028236045.0,19314222987.0,9276342459032.0
