row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
31/12/2022,Tại ngày > 31/12/2022,31/12/2022,10.970.265.720.000,49.713.213.411,1.179.064.868.147,-,(40.480.690.557),1.086.270.726.048,87.203.093.024,7.711.681.484.541,21.043.718.414.614,10970265720000.0,49713213411.0,1179064868147.0,,-40480690557.0,1086270726048.0,87203093024.0,7711681484541.0,21043718414614.0
Phát hành cổ phiếu (i),Tại ngày > Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),73.050.500.000,-,-,-,-,-,-,-,73.050.500.000,73050500000.0,,,,,,,,73050500000.0
Lợi nhuận thuần trong năm,Tại ngày > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,6.465.190.432.622,6.465.190.432.622,,,,,,,,6465190432622.0,6465190432622.0
"Trích quỹ khen thưởng, phúc lợi","Tại ngày > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(557.312.424.593),(557.312.424.593),,,,,,,,-557312424593.0,-557312424593.0
Trích và sử dụng quỹ đầu tư phát triển,Tại ngày > Trích và sử dụng quỹ đầu tư phát triển,Trích và sử dụng quỹ đầu tư phát triển,-,-,-,-,-,495.539.584.866,-,(162.183.355.560),333.356.229.306,,,,,,495539584866.0,,-162183355560.0,333356229306.0
Chia cổ tức bằng cổ phiếu (ii),Tại ngày > Chia cổ tức bằng cổ phiếu (ii),Chia cổ tức bằng cổ phiếu (ii),1.656.372.530.000,-,749.537.290.000,-,-,(31.959.370.994),-,(2.373.950.449.006),-,1656372530000.0,,749537290000.0,,,-31959370994.0,,-2373950449006.0,
Chia cổ tức bằng tiền (ii),Tại ngày > Chia cổ tức bằng tiền (ii),Chia cổ tức bằng tiền (ii),-,-,-,-,-,-,-,(2.374.300.497.000),(2.374.300.497.000),,,,,,,,-2374300497000.0,-2374300497000.0
Khác,Tại ngày > Khác,Khác,-,-,-,-,22.702.187.931,-,-,(34.998.482.334),(12.296.294.403),,,,,22702187931.0,,,-34998482334.0,-12296294403.0
Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,,,,,,,,,
31/12/2023,Tại ngày > 31/12/2023,31/12/2023,12.699.688.750.000,49.713.213.411,1.928.602.158.147,-,(17.778.502.626),1.549.850.939.920,87.203.093.024,8.674.126.708.670,24.971.406.360.546,12699688750000.0,49713213411.0,1928602158147.0,,-17778502626.0,1549850939920.0,87203093024.0,8674126708670.0,24971406360546.0
