row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2025Triệu VND,2024Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2025Triệu VND,numeric__2024Triệu VND
Tiền chi khác cho hoạt động kinh doanh,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(1.138),(723),17.0,,-1138.0,-723.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,1.369.570,9.525.462,20.0,,1369570.0,9525462.0
LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
Tiền chi mua tài sản cố định và tài sản dài hạn khác,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua tài sản cố định và tài sản dài hạn khác,Tiền chi mua tài sản cố định và tài sản dài hạn khác,21,,(1.878.231),(3.099.300),21.0,,-1878231.0,-3099300.0
Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,22,,22.047,34.765,22.0,,22047.0,34765.0
"Tiền chi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác","Tiền chi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác",23,,(13.280.619),(40.732.272),23.0,,-13280619.0,-40732272.0
"Tiền thu hồi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác","Tiền thu hồi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác",24,,32.034.279,32.404.126,24.0,,32034279.0,32404126.0
Tiền chi cho các khoản đầu tư góp vốn và hợp nhất kinh doanh (đã trừ đi số dư tiền của công ty con được hợp nhất),LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho các khoản đầu tư góp vốn và hợp nhất kinh doanh (đã trừ đi số dư tiền của công ty con được hợp nhất),Tiền chi cho các khoản đầu tư góp vốn và hợp nhất kinh doanh (đã trừ đi số dư tiền của công ty con được hợp nhất),25,,(3.114.488),(6.557.257),25.0,,-3114488.0,-6557257.0
Tiền thu từ việc thanh lý các công ty con (đã trừ đi số dư tiền của các công ty con được thanh lý) và tiền thu từ thanh lý các khoản đầu tư góp vốn khác,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ việc thanh lý các công ty con (đã trừ đi số dư tiền của các công ty con được thanh lý) và tiền thu từ thanh lý các khoản đầu tư góp vốn khác,Tiền thu từ việc thanh lý các công ty con (đã trừ đi số dư tiền của các công ty con được thanh lý) và tiền thu từ thanh lý các khoản đầu tư góp vốn khác,26,,84.669,4.284.306,26.0,,84669.0,4284306.0
"Tiền thu từ lãi, cổ tức và thu nhập khác từ hoạt động đầu tư","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ lãi, cổ tức và thu nhập khác từ hoạt động đầu tư","Tiền thu từ lãi, cổ tức và thu nhập khác từ hoạt động đầu tư",27,,3.031.223,2.972.095,27.0,,3031223.0,2972095.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,16.898.880,(10.693.537),30.0,,16898880.0,-10693537.0
