row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Các chỉ phí trực tiếp liên quan đến việc phát hành cổ phiếu,Các chỉ phí trực tiếp liên quan đến việc phát hành cổ phiếu,Các chỉ phí trực tiếp liên quan đến việc phát hành cổ phiếu,-,(620.000.000),-,-,-,(620.000.000),,-620000000.0,,,,-620000000.0
Điều chỉnh giảm vốn cổ phần thiểu chưa phát hành của Nhà nước (Thuyết minh 19),Điều chỉnh giảm vốn cổ phần thiểu chưa phát hành của Nhà nước (Thuyết minh 19),Điều chỉnh giảm vốn cổ phần thiểu chưa phát hành của Nhà nước (Thuyết minh 19),(347.152.410.000),-,-,-,-,(347.152.410.000),-347152410000.0,,,,,-347152410000.0
Phát hành cổ phiếu ưu đãi hoàn lại từ lợi nhuận sau thuế,Phát hành cổ phiếu ưu đãi hoàn lại từ lợi nhuận sau thuế,Phát hành cổ phiếu ưu đãi hoàn lại từ lợi nhuận sau thuế,-,-,-,-,(1.550.648.460.000),(1.550.648.460.000),,,,,-1550648460000.0,-1550648460000.0
Mua lại cổ phiếu ưu đãi hoàn lại và chuyển đổi thành cổ phiếu phổ thông (Thuyết minh 19),Mua lại cổ phiếu ưu đãi hoàn lại và chuyển đổi thành cổ phiếu phổ thông (Thuyết minh 19),Mua lại cổ phiếu ưu đãi hoàn lại và chuyển đổi thành cổ phiếu phổ thông (Thuyết minh 19),1.550.648.460.000,-,(1.550.648.460.000),-,-,-,1550648460000.0,,-1550648460000.0,,,
Tái cấu trúc tài chính công ty con từ thưởng dư vốn cổ phần (i),Tái cấu trúc tài chính công ty con từ thưởng dư vốn cổ phần (i),Tái cấu trúc tài chính công ty con từ thưởng dư vốn cổ phần (i),-,(1.612.679.731.840),-,-,-,(1.612.679.731.840),,-1612679731840.0,,,,-1612679731840.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,3.468.490.888.430,3.468.490.888.430,,,,,3468490888430.0,3468490888430.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,3.506.080.452,(3.506.080.452),-,,,,3506080452.0,-3506080452.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(44.000.000.000),(44.000.000.000),,,,,-44000000000.0,-44000000000.0
Cổ tức (Thuyết minh 20),Cổ tức (Thuyết minh 20),Cổ tức (Thuyết minh 20),-,-,-,-,(93.035.083.760),(93.035.083.760),,,,,-93035083760.0,-93035083760.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,(3.612.552),(3.612.552),,,,,-3612552.0,-3612552.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,12.938.780.810.000,1.390.950.518.669,(1.550.648.460.000),3.261.509.635,5.068.559.588.932,17.850.903.967.236,12938780810000.0,1390950518669.0,-1550648460000.0,3261509635.0,5068559588932.0,17850903967236.0
