row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ,% sở hữu,% quyền biểu quyết,31/12/2016 > Giá gốc VND,31/12/2016 > Dự phòng VND,% sở hữu_1,% quyền biểu quyết_1,1/1/2016 > Giá gốc VND,1/1/2016 > Dự phòng VNDĐã điều chỉnh lại,1/1/2016 > Giá trị hợp lý VND,col_12,numeric__Tên Công ty,numeric__Địa chỉ,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__31/12/2016 > Giá gốc VND,numeric__31/12/2016 > Dự phòng VND,numeric__% sở hữu_1,numeric__% quyền biểu quyết_1,numeric__1/1/2016 > Giá gốc VND,numeric__1/1/2016 > Dự phòng VNDĐã điều chỉnh lại,numeric__1/1/2016 > Giá trị hợp lý VND,numeric__col_12
29,Các công ty con thuộc Khối xăng đầu trực thuộc > 29,29,Công ty Xăng dầu Bà Rịa Vùng Tàu,Bà Rịa Vùng Tàu,"100,00%","100,00%",121.000.000.000,-,(*),"100,00%","100,00%",121.000.000.000,-,(*),,,1.0,1.0,121000000000.0,,,1.0,1.0,121000000000.0,,
30,Các công ty con thuộc Khối xăng đầu trực thuộc > 30,30,Công ty Xăng dầu Nghề An,Nghề An,"100,00%","100,00%",104.500.000.000,-,(*),"100,00%","100,00%",104.500.000.000,-,(*),,,1.0,1.0,104500000000.0,,,1.0,1.0,104500000000.0,,
31,Các công ty con thuộc Khối xăng đầu trực thuộc > 31,31,Công ty Xăng dầu Hà Nam Ninh,Nam Định,"100,00%","100,00%",95.000.000.000,-,(*),"100,00%","100,00%",95.000.000.000,-,(*),,,1.0,1.0,95000000000.0,,,1.0,1.0,95000000000.0,,
32,Các công ty con thuộc Khối xăng đầu trực thuộc > 32,32,Công ty Xăng dầu Phù Khánh,Khánh Hòa,"100,00%","100,00%",89.000.000.000,-,(*),"100,00%","100,00%",89.000.000.000,-,(*),,,1.0,1.0,89000000000.0,,,1.0,1.0,89000000000.0,,
33,Các công ty con thuộc Khối xăng đầu trực thuộc > 33,33,Công ty Xăng dầu Hà Sơn Bình,Hà Nội,"100,00%","100,00%",78.000.000.000,-,(*),"100,00%","100,00%",78.000.000.000,-,(*),,,1.0,1.0,78000000000.0,,,1.0,1.0,78000000000.0,,
34,Các công ty con thuộc Khối xăng đầu trực thuộc > 34,34,Công ty Xăng dầu KV3 – Công ty TNHH MTV,Hải Phòng,"100,00%","100,00%",76.000.000.000,-,(*),"100,00%","100,00%",76.000.000.000,-,(*),,,1.0,1.0,76000000000.0,,,1.0,1.0,76000000000.0,,
35,Các công ty con thuộc Khối xăng đầu trực thuộc > 35,35,Công ty TNHH MTV Xăng dầu Vĩnh Long,Vĩnh Long,"100,00%","100,00%",76.000.000.000,-,(*),"100,00%","100,00%",76.000.000.000,-,(*),,,1.0,1.0,76000000000.0,,,1.0,1.0,76000000000.0,,
36,Các công ty con thuộc Khối xăng đầu trực thuộc > 36,36,Công ty Xăng dầu Bắc Tây Nguyên,Gia Lai,"100,00%","100,00%",69.500.000.000,-,(*),"100,00%","100,00%",69.500.000.000,-,(*),,,1.0,1.0,69500000000.0,,,1.0,1.0,69500000000.0,,
37,Các công ty con thuộc Khối xăng đầu trực thuộc > 37,37,Công ty Xăng dầu Bình Định,Bình Định,"100,00%","100,00%",68.500.000.000,-,(*),"100,00%","100,00%",68.500.000.000,-,(*),,,1.0,1.0,68500000000.0,,,1.0,1.0,68500000000.0,,
38,Các công ty con thuộc Khối xăng đầu trực thuộc > 38,38,Công ty Xăng dầu Thanh Hóa – Công ty TNHH MTV,Thanh Hóa,"100,00%","100,00%",61.000.000.000,-,(*),"100,00%","100,00%",61.000.000.000,-,(*),,,1.0,1.0,61000000000.0,,,1.0,1.0,61000000000.0,,
39,Các công ty con thuộc Khối xăng đầu trực thuộc > 39,39,Công ty TNHH MTV Xăng dầu Nam Tây Nguyên,Đắc Lak,"100,00%","100,00%",60.000.000.000,-,(*),"100,00%","100,00%",60.000.000.000,-,(*),,,1.0,1.0,60000000000.0,,,1.0,1.0,60000000000.0,,
40,Các công ty con thuộc Khối xăng đầu trực thuộc > 40,40,Công ty Xăng dầu Long An,Long An,"100,00%","100,00%",57.000.000.000,-,(*),"100,00%","100,00%",57.000.000.000,-,(*),,,1.0,1.0,57000000000.0,,,1.0,1.0,57000000000.0,,
41,Các công ty con thuộc Khối xăng đầu trực thuộc > 41,41,Công ty TNHH MTV Xăng dầu Cà Mau,Cà Mau,"100,00%","100,00%",51.000.000.000,-,(*),"100,00%","100,00%",51.000.000.000,-,(*),,,1.0,1.0,51000000000.0,,,1.0,1.0,51000000000.0,,
42,Các công ty con thuộc Khối xăng đầu trực thuộc > 42,42,Công ty TNHH MTV Xăng dầu Tiên Giang,Tiền Giang,"100,00%","100,00%",49.500.000.000,-,(*),"100,00%","100,00%",49.500.000.000,-,(*),,,1.0,1.0,49500000000.0,,,1.0,1.0,49500000000.0,,
43,Các công ty con thuộc Khối xăng đầu trực thuộc > 43,43,Công ty Xăng dầu Đông Nai,Đồng Nai,"100,00%","100,00%",47.700.000.000,-,(*),"100,00%","100,00%",47.700.000.000,-,(*),,,1.0,1.0,47700000000.0,,,1.0,1.0,47700000000.0,,
