row_label_raw,row_label_full,col_0,Thuyết minh,Năm 2025 Triệu VND,Năm 2024 Triệu VND,numeric__Thuyết minh,numeric__Năm 2025 Triệu VND,numeric__Năm 2024 Triệu VND
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,
09,Những thay đổi về tài sản hoạt động > 09,09,Tăng các khoản tiền gửi và cho vay các tổ chức tín dụng khác,(1.127.843),(112.503),,-1127843.0,-112503.0
10,Những thay đổi về tài sản hoạt động > 10,10,Tăng các khoản về kinh doanh chứng khoán,(23.841.386),(41.824.763),,-23841386.0,-41824763.0
11,Những thay đổi về tài sản hoạt động > 11,11,Tăng các công cụ tài chính phải sinh và các tài sản tài chính khác,(268.306),(55.992),,-268306.0,-55992.0
12,Những thay đổi về tài sản hoạt động > 12,12,Tăng các khoản cho vay khách hàng,(98.186.804),(88.458.485),,-98186804.0,-88458485.0
13,Những thay đổi về tài sản hoạt động > 13,13,"Giảm nguồn dự phòng để xử lý rủi ro, xử lý, bù đắp tồn thất các khoản",(2.480.586),(224.804),,-2480586.0,-224804.0
14,Những thay đổi về tài sản hoạt động > 14,14,(Tăng)/giảm khác về tài sản hoạt động,(1.889.050),1.110.439,,-1889050.0,1110439.0
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
15,Những thay đổi về công nợ hoạt động > 15,15,Tăng các khoản nợ Chính phủ và Ngân hàng Nhà nước,25.021.286,7.954.765,,25021286.0,7954765.0
16,Những thay đổi về công nợ hoạt động > 16,16,Tăng các khoản tiền gửi và vay các tổ chức tín dụng khác,36.535.365,10.677.482,,36535365.0,10677482.0
17,Những thay đổi về công nợ hoạt động > 17,17,Tăng tiền gửi của khách hàng,48.735.016,55.490.494,,48735016.0,55490494.0
18,Những thay đổi về công nợ hoạt động > 18,18,Tăng phát hành giấy tờ có giá,31.468.644,49.233.145,,31468644.0,49233145.0
19,Những thay đổi về công nợ hoạt động > 19,19,"Giảm vốn tài trợ, ủy thác đầu tư, cho vay mà tổ chức tín dụng chịu rủi ro",(8.929),(13.526),,-8929.0,-13526.0
20,Những thay đổi về công nợ hoạt động > 20,20,Giảm các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,(117.126),,,-117126.0
21,Những thay đổi về công nợ hoạt động > 21,21,Tăng khác về công nợ hoạt động,1.791.961,825.822,,1791961.0,825822.0
22,Những thay đổi về công nợ hoạt động > 22,22,Chi từ các quỹ của tổ chức tín dụng,(129.874),(1.249),,-129874.0,-1249.0
I,Những thay đổi về công nợ hoạt động > I,I,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH,32.823.127,10.594.721,,32823127.0,10594721.0
