row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Đến 01 tháng,Từ 01 đến 03 tháng,Từ 03 đến 06 tháng,Từ 06 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 01 tháng,numeric__Từ 01 đến 03 tháng,numeric__Từ 03 đến 06 tháng,numeric__Từ 06 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
Tổng Tài sản,Hoạt động mua nợ (*) > Tổng Tài sản,Tổng Tài sản,3.067.535,12.295.980,24.704.092,23.430.272,3.297.129,2.525.257,6.693.369,5.167.858,81.181.492,3067535.0,12295980.0,24704092.0,23430272.0,3297129.0,2525257.0,6693369.0,5167858.0,81181492.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,11.341.679,1.072.418,-,-,-,-,12.414.097,,,11341679.0,1072418.0,,,,,12414097.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,12.228.362,11.277.186,18.549.716,11.773.115,5.284.953,-,59.113.332,,,12228362.0,11277186.0,18549716.0,11773115.0,5284953.0,,59113332.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,-,116.477,116.477,,,,,,,,116477.0,116477.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,145.653,150.189,303.411,237.281,858.126,1.009.530,2.704.190,,,145653.0,150189.0,303411.0,237281.0,858126.0,1009530.0,2704190.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,137.151,274.557,390.267,513.403,233.851,201.288,-,1.750.517,,137151.0,274557.0,390267.0,513403.0,233851.0,201288.0,,1750517.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,137.151,23.990.251,12.890.060,19.366.530,12.244.247,6.344.367,1.126.007,76.098.613,,137151.0,23990251.0,12890060.0,19366530.0,12244247.0,6344367.0,1126007.0,76098613.0
Mức chênh lệch nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội bảng,Mức chênh lệch nhạy cảm với lãi suất nội bảng,3.067.535,12.158.829,713.841,10.540.212,(16.069.401),(9.718.990),349.002,4.041.851,5.082.879,3067535.0,12158829.0,713841.0,10540212.0,-16069401.0,-9718990.0,349002.0,4041851.0,5082879.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),-,2.762.521,15,-,-,-,-,-,2.762.536,,2762521.0,15.0,,,,,,2762536.0
"Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng",3.067.535,14.921.350,713.856,10.540.212,(16.069.401),(9.718.990),349.002,4.041.851,7.845.415,3067535.0,14921350.0,713856.0,10540212.0,-16069401.0,-9718990.0,349002.0,4041851.0,7845415.0
