row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Quá hạn_2,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộng triệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Quá hạn_2,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộng triệu đồng
Các khoản nợ NHNN,Nợ phải trả > Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,-,8.266.800,4.076.260,979.053,1.884.786,-,-,15.206.899,,,,8266800.0,4076260.0,979053.0,1884786.0,,,15206899.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,73.038.934,29.751.423,9.254.957,10.229,171,-,112.055.714,,,,73038934.0,29751423.0,9254957.0,10229.0,171.0,,112055714.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,124.183.776,169.377.789,162.370.753,176.330.035,120.246.828,60.354,752.569.535,,,,124183776.0,169377789.0,162370753.0,176330035.0,120246828.0,60354.0,752569535.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,-,-,3.623.617,-,2.740.541,-,6.364.158,,,,,,3623617.0,,2740541.0,,6364158.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,1.773,-,-,4.200.000,18.300.000,-,22.501.773,,,,1773.0,,,4200000.0,18300000.0,,22501773.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),117.702.592,-,-,-,-,-,-,-,-,117.702.592,117702592.0,,,,,,,,,117702592.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,117.702.592,-,-,205.491.283,203.205.472,176.228.380,182.425.050,141.287.540,60.354,1.026.400.671,117702592.0,,,205491283.0,203205472.0,176228380.0,182425050.0,141287540.0,60354.0,1026400671.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,(60.963.534),9.457.830,3.594.606,212.825.553,59.184.829,26.220.694,(122.314.589),(84.775.386),29.020.814,72.250.817,-60963534.0,9457830.0,3594606.0,212825553.0,59184829.0,26220694.0,-122314589.0,-84775386.0,29020814.0,72250817.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng) > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",(60.963.534),9.457.830,3.594.606,212.825.553,59.184.829,26.220.694,(122.314.589),(84.775.386),29.020.814,72.250.817,-60963534.0,9457830.0,3594606.0,212825553.0,59184829.0,26220694.0,-122314589.0,-84775386.0,29020814.0,72250817.0
