row_label_raw,row_label_full,CHỈ TIÊU,Mã số,TM,Năm 2018,Năm 2017,numeric__Mã số,numeric__TM,numeric__Năm 2018,numeric__Năm 2017
"Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản: > Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,,430.411.531,13.423.700.847,10.0,,430411531.0,13423700847.0
"Tăng, giảm các khoản phải trả (không kể lãi vayphải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản: > Tăng, giảm các khoản phải trả (không kể lãi vayphải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (không kể lãi vayphải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,(19.397.554.921),(335.242.245.767),11.0,,-19397554921.0,-335242245767.0
"Tăng, giảm chi phí trả trước","2. Điều chỉnh cho các khoản: > Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,,15.395.490.000,131.285.596.169,12.0,,15395490000.0,131285596169.0
Tiền thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Tiền thuế thu nhập doanh nghiệp đã nộp,Tiền thuế thu nhập doanh nghiệp đã nộp,15,,-,(15.670.975.353),15.0,,,-15670975353.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,999.244.000,14.786.618.599,16.0,,999244000.0,14786618599.0
Tiền chi khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác từ hoạt động kinh doanh,Tiền chi khác từ hoạt động kinh doanh,17,,(3.892.675.100),(93.300.807.249),17.0,,-3892675100.0,-93300807249.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(96.663.770.394),91.721.991.366,20.0,,-96663770394.0,91721991366.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"1. Tiền chỉ để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chỉ để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác","1. Tiền chỉ để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác",21,,(787.933.649),(56.151.648.829),21.0,,-787933649.0,-56151648829.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐvà các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu từ thanh lý, nhượng bán TSCĐvà các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐvà các tài sản dài hạn khác",22,,-,49.214.999,22.0,,,49214999.0
"3. Tiền chi cho vay, mua các công cụ nợcủa các đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chi cho vay, mua các công cụ nợcủa các đơn vị khác","3. Tiền chi cho vay, mua các công cụ nợcủa các đơn vị khác",23,,(1.069.375.000.000),(934.705.000.000),23.0,,-1069375000000.0,-934705000000.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa các đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa các đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa các đơn vị khác",24,,1.191.830.000.000,559.270.000.000,24.0,,1191830000000.0,559270000000.0
5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,25,,(32.455.000.000),(282.985.847.936),25.0,,-32455000000.0,-282985847936.0
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,11.696.253.480,313.076.829.500,26.0,,11696253480.0,313076829500.0
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,327.856.481.154,234.204.418.950,27.0,,327856481154.0,234204418950.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,428.764.800.985,(167.242.033.316),30.0,,428764800985.0,-167242033316.0
