row_label_raw,row_label_full,col_0,Miền NamTriệu đồng,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Tổng bộ phậnđã báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Tổng bộ phậnđã báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
LỢI NHUẬN SAU THUẾ,Chi phí lãi và các chi phí tương tự > LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,(931.561),610.847,857.155,536.441,-,536.441,-931561.0,610847.0,857155.0,536441.0,,536441.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,,,
Tiền gửi tại và cho vay các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,4.620.545,1.344,1.183,4.623.072,-,4.623.072,4620545.0,1344.0,1183.0,4623072.0,,4623072.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,137.372.030,16.644.291,24.411.102,178.427.423,-,178.427.423,137372030.0,16644291.0,24411102.0,178427423.0,,178427423.0
Đầu tư,TÀI SẢN > Đầu tư,Đầu tư,43.192.180,-,-,43.192.180,-,43.192.180,43192180.0,,,43192180.0,,43192180.0
Tải sản khác,TÀI SẢN > Tải sản khác,Tải sản khác,61.107.469,1.725.758,1.850.131,64.683.358,(561.918),64.121.440,61107469.0,1725758.0,1850131.0,64683358.0,-561918.0,64121440.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,246.292.224,18.371.393,26.262.416,290.926.033,(561.918),290.364.115,246292224.0,18371393.0,26262416.0,290926033.0,-561918.0,290364115.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,3.665.843,360,6.845,3.673.048,-,3.673.048,3665843.0,360.0,6845.0,3673048.0,,3673048.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,190.825.880,42.181.945,26.419.912,259.427.737,-,259.427.737,190825880.0,42181945.0,26419912.0,259427737.0,,259427737.0
Nợ phải trả khác,NỘ PHẢI TRẢ > Nợ phải trả khác,Nợ phải trả khác,5.067.122,671.455,423.372,6.161.949,(561.918),5.600.031,5067122.0,671455.0,423372.0,6161949.0,-561918.0,5600031.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,199.558.845,42.853.760,26.850.129,269.262.734,(561.918),268.700.816,199558845.0,42853760.0,26850129.0,269262734.0,-561918.0,268700816.0
