row_label_raw,row_label_full,col_0,Năm kết thúcngày 31/12/2019VND,Từ 9/10/2018đến 31/12/2018VND,numeric__Năm kết thúcngày 31/12/2019VND,numeric__Từ 9/10/2018đến 31/12/2018VND
Dịch vụ cung cấp,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh > Dịch vụ cung cấp,Dịch vụ cung cấp,-,21.409.306,,21409306.0
Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty Cổ phần Lương thực thực phẩm Safoco,,
Bán hàng,Công ty Cổ phần Lương thực thực phẩm Safoco > Bán hàng,Bán hàng,7.907.600.000,1.912.600.000,7907600000.0,1912600000.0
Mua hàng hóa,Công ty Cổ phần Lương thực thực phẩm Safoco > Mua hàng hóa,Mua hàng hóa,31.648.680,10.367.280,31648680.0,10367280.0
"Cổ tức, lợi nhuận được chia","Công ty Cổ phần Lương thực thực phẩm Safoco > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",12.185.556.000,-,12185556000.0,
Công ty Cổ phần Sài Gòn Lương thực,Công ty Cổ phần Sài Gòn Lương thực,Công ty Cổ phần Sài Gòn Lương thực,Công ty Cổ phần Sài Gòn Lương thực,Công ty Cổ phần Sài Gòn Lương thực,,
Bán hàng,Công ty Cổ phần Sài Gòn Lương thực > Bán hàng,Bán hàng,41.381.728,-,41381728.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,,
Bán hàng,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang > Bán hàng,Bán hàng,-,67.156.000,,67156000.0
"Cổ tức, lợi nhuận được chia","Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",1.077.236.500,-,1077236500.0,
Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket,,
"Cổ tức, lợi nhuận được chia","Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",4.865.520.000,-,4865520000.0,
Mua hàng hóa,Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket > Mua hàng hóa,Mua hàng hóa,26.948.500,-,26948500.0,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Bao bì Bình Tây,Công ty Cổ phần Bao bì Bình Tây,Công ty Cổ phần Bao bì Bình Tây,Công ty Cổ phần Bao bì Bình Tây,Công ty Cổ phần Bao bì Bình Tây,,
Mua hàng hóa,Công ty Cổ phần Bao bì Bình Tây > Mua hàng hóa,Mua hàng hóa,1.347.425.900,-,1347425900.0,
Công ty Cổ phần Lương thực và Bao bì Đồng Tháp,Công ty Cổ phần Lương thực và Bao bì Đồng Tháp,Công ty Cổ phần Lương thực và Bao bì Đồng Tháp,Công ty Cổ phần Lương thực và Bao bì Đồng Tháp,Công ty Cổ phần Lương thực và Bao bì Đồng Tháp,,
Mua hàng hóa,Công ty Cổ phần Lương thực và Bao bì Đồng Tháp > Mua hàng hóa,Mua hàng hóa,2.189.838.750,-,2189838750.0,
Ban Tổng Giám đốc và Hội đồng Quản trị,Ban Tổng Giám đốc và Hội đồng Quản trị,Ban Tổng Giám đốc và Hội đồng Quản trị,Ban Tổng Giám đốc và Hội đồng Quản trị,Ban Tổng Giám đốc và Hội đồng Quản trị,,
Tiền lương và thường,Ban Tổng Giám đốc và Hội đồng Quản trị > Tiền lương và thường,Tiền lương và thường,2.045.239.480,546.511.620,2045239480.0,546511620.0
