row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2017,Đơn vị tính: VND01/01/2017,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017,numeric__Đơn vị tính: VND01/01/2017
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,16.141.420.000,25.700.000.000,210.0,,16141420000.0,25700000000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,V.5,16.141.420.000,25.700.000.000,216.0,,16141420000.0,25700000000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,34.219.967.916,34.935.549.052,220.0,,34219967916.0,34935549052.0
1. TSCĐ hữu hình,1. TSCĐ hữu hình,1. TSCĐ hữu hình,221,V.6,33.980.702.647,34.860.444.884,221.0,,33980702647.0,34860444884.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,43.374.913.826,41.750.240.279,222.0,,43374913826.0,41750240279.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(9.394.211.179),(6.889.795.395),223.0,,-9394211179.0,-6889795395.0
2. TSCĐ vô hình,2. TSCĐ vô hình,2. TSCĐ vô hình,227,V.7,239.265.269,75.104.168,227.0,,239265269.0,75104168.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,932.033.346,700.933.346,228.0,,932033346.0,700933346.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(692.768.077),(625.829.178),229.0,,-692768077.0,-625829178.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,V.8,283.242.144.023,289.612.741.934,230.0,,283242144023.0,289612741934.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,318.024.456.606,317.024.163.683,231.0,,318024456606.0,317024163683.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,232,,(34.782.312.583),(27.411.421.749),232.0,,-34782312583.0,-27411421749.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,V.10,13.705.699.104,2.374.074.967,240.0,,13705699104.0,2374074967.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,,13.705.699.104,2.374.074.967,242.0,,13705699104.0,2374074967.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,V.3,943.626.586.227,701.657.644.882,250.0,,943626586227.0,701657644882.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,954.680.008.803,710.380.008.803,251.0,,954680008803.0,710380008803.0
2. Dự phòng đầu tư tài chính dài hạn,2. Dự phòng đầu tư tài chính dài hạn,2. Dự phòng đầu tư tài chính dài hạn,254,,(11.053.422.576),(8.722.363.921),254.0,,-11053422576.0,-8722363921.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,9.127.356.207,9.983.108.387,260.0,,9127356207.0,9983108387.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,V.11,9.127.356.207,9.934.769.112,261.0,,9127356207.0,9934769112.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,,-,48.339.275,262.0,,,48339275.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,2.521.233.105.014,1.847.261.358.419,270.0,,2521233105014.0,1847261358419.0
