row_label_raw,row_label_full,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,424.000.000,col_2,numeric__424.000.000,numeric__col_2
Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,52.577.778,105.733.334,52577778.0,105733334.0
Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,-,2.884.722.222,,2884722222.0
Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,139.288.657.958,60.885.000.000,139288657958.0,60885000000.0
Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,5.049.000.000,4.590.000.000,5049000000.0,4590000000.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,69.259.657.958,54.000.000.000,69259657958.0,54000000000.0
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,61.920.000.000,-,61920000000.0,
Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,3.060.000.000,2.295.000.000,3060000000.0,2295000000.0
Góp vốn vào công ty con,Góp vốn vào công ty con,Góp vốn vào công ty con,246.300.000.000,257.381.028.803,246300000000.0,257381028803.0
Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,-,10.200.000.000,,10200000000.0
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,-,225.181.028.803,,225181028803.0
Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,-,2.000.000.000,,2000000000.0
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,195.000.000.000,-,195000000000.0,
Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,15.300.000.000,-,15300000000.0,
Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,36.000.000.000,-,36000000000.0,
Công ty TNHH MTV Khách sạn và Nghị dưỡng C.E.O,Công ty TNHH MTV Khách sạn và Nghị dưỡng C.E.O,Công ty TNHH MTV Khách sạn và Nghị dưỡng C.E.O,-,20.000.000.000,,20000000000.0
Chuyển nhượng vốn tại công ty con,Chuyển nhượng vốn tại công ty con,Chuyển nhượng vốn tại công ty con,2.000.000.000,-,2000000000.0,
Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,2.000.000.000,-,2000000000.0,
