row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bị vănphòng,Tài sản cốđịnh khác,Đơn vị tính: triệu VND,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bị vănphòng,numeric__Tài sản cốđịnh khác,numeric__Đơn vị tính: triệu VND
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,58.351.460,59.050.533,2.259.055,892.218,2.146.284,122.699.550,58351460.0,59050533.0,2259055.0,892218.0,2146284.0,122699550.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,172.789,511.577,54.989,125.320,133.557,998.232,172789.0,511577.0,54989.0,125320.0,133557.0,998232.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,3.652.990,6.792.823,514.317,416.717,363.581,11.740.428,3652990.0,6792823.0,514317.0,416717.0,363581.0,11740428.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,1.765.815,3.851.355,212.160,123.267,204.963,6.157.560,1765815.0,3851355.0,212160.0,123267.0,204963.0,6157560.0
Tăng do mua công ty con,Giá trị khấu hao lũy kế: > Tăng do mua công ty con,Tăng do mua công ty con,551.607,388.028,44.378,64,87.814,1.071.891,551607.0,388028.0,44378.0,64.0,87814.0,1071891.0
Phân loại lại từ bất động sản đầu tư (Thuyết minh số 16),Giá trị khấu hao lũy kế: > Phân loại lại từ bất động sản đầu tư (Thuyết minh số 16),Phân loại lại từ bất động sản đầu tư (Thuyết minh số 16),212.760,161.610,-,-,-,374.370,212760.0,161610.0,,,,374370.0
Phân loại lại,Giá trị khấu hao lũy kế: > Phân loại lại,Phân loại lại,244.706,(244.866),(284),(177.136),177.580,-,244706.0,-244866.0,-284.0,-177136.0,177580.0,
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(85.607),(66.150),(139.878),(24.990),(3.370),(319.995),-85607.0,-66150.0,-139878.0,-24990.0,-3370.0,-319995.0
Phân loại lại sang bất động sản đầu tư (Thuyết minh số 16),Giá trị khấu hao lũy kế: > Phân loại lại sang bất động sản đầu tư (Thuyết minh số 16),Phân loại lại sang bất động sản đầu tư (Thuyết minh số 16),(73.740),(56.709),-,-,-,(130.449),-73740.0,-56709.0,,,,-130449.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,6.502,(12.369),(1.177),(215),(158),(7.417),6502.0,-12369.0,-1177.0,-215.0,-158.0,-7417.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,6.275.033,10.813.722,629.516,337.707,830.410,18.886.388,6275033.0,10813722.0,629516.0,337707.0,830410.0,18886388.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,39.504.573,46.045.193,1.409.535,617.507,721.794,88.298.602,39504573.0,46045193.0,1409535.0,617507.0,721794.0,88298602.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,52.076.427,48.236.811,1.629.539,554.511,1.315.874,103.813.162,52076427.0,48236811.0,1629539.0,554511.0,1315874.0,103813162.0
