row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm2017,Quá hạnVND,Không chịu lãiVND,Dưới1 thángVND,Từ 1 đến3 thángVND,Từ trên 3 đến6 thángVND,Từ trên 6 đến12 thángVND,Từ trên 1 đến5 nămVND,Trên 5 nămVND,TổngVND,numeric__Quá hạnVND,numeric__Không chịu lãiVND,numeric__Dưới1 thángVND,numeric__Từ 1 đến3 thángVND,numeric__Từ trên 3 đến6 thángVND,numeric__Từ trên 6 đến12 thángVND,numeric__Từ trên 1 đến5 nămVND,numeric__Trên 5 nămVND,numeric__TổngVND
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,4.800.000.000,2.073.613.631.124,-,-,-,-,-,-,2.078.413.631.124,4800000000.0,2073613631124.0,,,,,,,2078413631124.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),1.455.709.396.425,4.290.563.310.614,19.084.149.613.103,22.294.731.378.917,14.363.158.457.755,4.206.571.960.048,10.139.067.945.424,9.271.679.300.000,85.105.631.362.286,1455709396425.0,4290563310614.0,19084149613103.0,22294731378917.0,14363158457755.0,4206571960048.0,10139067945424.0,9271679300000.0,85105631362286.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,6.190.499.448,18.255.045.975,79.590.958.264,231.173.373.916,-,-,335.209.877.603,,,6190499448.0,18255045975.0,79590958264.0,231173373916.0,,,335209877603.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,12.965.794.488.241,3.150.968.000.000,-,-,185.353.675.000,1.514.064.160,16.303.630.227.401,,,12965794488241.0,3150968000000.0,,,185353675000.0,1514064160.0,16303630227401.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,24.137.409.136.441,9.178.873.189.909,9.799.643.408.451,7.175.307.553.343,2.913.772.157.533,786.949.500,53.205.792.395.177,,,24137409136441.0,9178873189909.0,9799643408451.0,7175307553343.0,2913772157533.0,786949500.0,53205792395177.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,356.644.750.000,762.541.875.000,179.864.080.000,3.355.075.000,1.287.248.122.849,55.811.889.518,2.645.465.792.367,,,356644750000.0,762541875000.0,179864080000.0,3355075000.0,1287248122849.0,55811889518.0,2645465792367.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,400.000.000.000,1.014.510.246.362,2.947.179.019.571,-,4.361.689.265.933,,,,,400000000000.0,1014510246362.0,2947179019571.0,,4361689265933.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,1.308.985.521.577,-,-,-,-,-,-,1.308.985.521.577,,1308985521577.0,,,,,,,1308985521577.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,1.308.985.521.577,37.466.038.874.130,13.110.638.110.884,10.459.098.446.715,8.424.346.248.621,7.333.552.974.953,58.112.903.178,78.160.773.080.058,,1308985521577.0,37466038874130.0,13110638110884.0,10459098446715.0,8424346248621.0,7333552974953.0,58112903178.0,78160773080058.0
Mức chênh nhạy cảm với lãi suất nội bằng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suất nội bằng [(3)=(1)-(2)],1.455.709.396.425,2.981.577.789.037,(18.381.889.261.027),9.184.093.268.033,3.904.060.011.040,(4.217.774.288.573),2.805.514.970.471,9.213.566.396.822,6.944.858.282.228,1455709396425.0,2981577789037.0,-18381889261027.0,9184093268033.0,3904060011040.0,-4217774288573.0,2805514970471.0,9213566396822.0,6944858282228.0
Mức chênh nhạy cảm với lãi suất ngoại bằng (4),Mức chênh nhạy cảm với lãi suất ngoại bằng (4),Mức chênh nhạy cảm với lãi suất ngoại bằng (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
Mức chênh nhạy cảm với lãi suất nội. ngoại bằng [(5)=(3)+(4)],Mức chênh nhạy cảm với lãi suất ngoại bằng (4) > Mức chênh nhạy cảm với lãi suất nội. ngoại bằng [(5)=(3)+(4)],Mức chênh nhạy cảm với lãi suất nội. ngoại bằng [(5)=(3)+(4)],1.455.709.396.425,2.981.577.789.037,(18.381.889.261.027),9.184.093.268.033,3.904.060.011.040,(4.217.774.288.573),2.805.514.970.471,9.213.566.396.822,6.944.858.282.228,1455709396425.0,2981577789037.0,-18381889261027.0,9184093268033.0,3904060011040.0,-4217774288573.0,2805514970471.0,9213566396822.0,6944858282228.0
