row_label_raw,row_label_full,col_0,Nhà cửavà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Khác,Tổng cộng,numeric__Nhà cửavà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Tổng cộng
Số dư đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,373.303.149.824,3.287.277.939.792,34.492.059.805,561.056.553.420,8.728.494.662,4.264.858.197.503,373303149824.0,3287277939792.0,34492059805.0,561056553420.0,8728494662.0,4264858197503.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,95.506.666.281,995.394.514.395,7.778.446.789,40.498.297.561,3.115.319.485,1.142.293.244.511,95506666281.0,995394514395.0,7778446789.0,40498297561.0,3115319485.0,1142293244511.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(28.268.599.864),(15.678.930.813),(2.262.512.520),(3.713.755.660),(337.062.925),(50.260.861.782),-28268599864.0,-15678930813.0,-2262512520.0,-3713755660.0,-337062925.0,-50260861782.0
Phân loại lại,GIÁ TRỊ HAO MÔN LỦY KẾ > Phân loại lại,Phân loại lại,(1.389.937.322),17.994.129.880,58.833.579,(16.369.802.093),(293.224.044),-,-1389937322.0,17994129880.0,58833579.0,-16369802093.0,-293224044.0,
Tài sản cố định thu hồi nhập kho,GIÁ TRỊ HAO MÔN LỦY KẾ > Tài sản cố định thu hồi nhập kho,Tài sản cố định thu hồi nhập kho,-,(318.301.898.145),-,(17.933.084.036),-,(336.234.982.181),,-318301898145.0,,-17933084036.0,,-336234982181.0
Tăng/(giảm) khác,GIÁ TRỊ HAO MÔN LỦY KẾ > Tăng/(giảm) khác,Tăng/(giảm) khác,(1.391.013.058),289.861.537,73.947.426,(9.536.713.839),(4.291.754.116),(14.855.672.050),-1391013058.0,289861537.0,73947426.0,-9536713839.0,-4291754116.0,-14855672050.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,437.760.265.861,3.966.975.616.646,40.140.775.079,554.001.495.353,6.921.773.062,5.005.799.926.001,437760265861.0,3966975616646.0,40140775079.0,554001495353.0,6921773062.0,5005799926001.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.511.977.963.885,3.485.635.109.022,24.044.491.485,177.004.242.754,8.464.142.960,5.207.125.950.106,1511977963885.0,3485635109022.0,24044491485.0,177004242754.0,8464142960.0,5207125950106.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.806.851.990.499,4.264.607.360.214,44.773.338.773,124.496.930.517,54.532.226.207,6.295.261.846.210,1806851990499.0,4264607360214.0,44773338773.0,124496930517.0,54532226207.0,6295261846210.0
