row_label_raw,row_label_full,col_0,Mã số Thuyết minh,Năm kết thúc ngày > 30/9/2019 VND,Năm kết thúc ngày > 30/9/2018 VND,numeric__Mã số Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2019 VND,numeric__Năm kết thúc ngày > 30/9/2018 VND
Tiền chi khác cho hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(13.390.811.230),(94.659.631.874),17.0,-13390811230.0,-94659631874.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,3.349.296.958.073,(808.092.438.984),20.0,3349296958073.0,-808092438984.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,(236.953.833.251),(267.516.192.217),21.0,-236953833251.0,-267516192217.0
Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,22,281.379.640.355,164.810.675.146,22.0,281379640355.0,164810675146.0
Tiền chi cho vay và tiền gửi có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay và tiền gửi có kỳ hạn,Tiền chi cho vay và tiền gửi có kỳ hạn,23,(105.390.000.000),(297.965.882.761),23.0,-105390000000.0,-297965882761.0
Tiền thu hồi từ khoản cho vay và tiền gửi có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi từ khoản cho vay và tiền gửi có kỳ hạn,Tiền thu hồi từ khoản cho vay và tiền gửi có kỳ hạn,24,76.870.387.032,116.105.320.725,24.0,76870387032.0,116105320725.0
Tiền chi đầu tư vào công ty con,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư vào công ty con,Tiền chi đầu tư vào công ty con,25,(14.766.000.000),(181.954.141.602),25.0,-14766000000.0,-181954141602.0
Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,26,18.018.280.991,156.446.681.583,26.0,18018280991.0,156446681583.0
Tiền thu lãi tiền gửi và cổ tức,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi và cổ tức,Tiền thu lãi tiền gửi và cổ tức,27,13.147.284.616,5.427.688.553,27.0,13147284616.0,5427688553.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,32.305.759.743,(304.645.850.573),30.0,32305759743.0,-304645850573.0
