row_label_raw,row_label_full,"A.7.21.Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn",Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Công ty CP Truyền Thông Tổng Hợp 24,A.7.24. Phải trả người bán > Công ty CP Truyền Thông Tổng Hợp 24,Công ty CP Truyền Thông Tổng Hợp 24,,46.980.000,,46980000.0
Công ty TNHH TM&DV Green Star Hà Nội,A.7.24. Phải trả người bán > Công ty TNHH TM&DV Green Star Hà Nội,Công ty TNHH TM&DV Green Star Hà Nội,,17.250.000,,17250000.0
Công ty CP Thực phẩm An toàn Tâm Thành,A.7.24. Phải trả người bán > Công ty CP Thực phẩm An toàn Tâm Thành,Công ty CP Thực phẩm An toàn Tâm Thành,,4.223.775,,4223775.0
Công ty CP Hai Bốn Bảy,A.7.24. Phải trả người bán > Công ty CP Hai Bốn Bảy,Công ty CP Hai Bốn Bảy,,3.640.017,,3640017.0
Công ty TNHH Đầu Tư Dầu Khí Hà Nội,A.7.24. Phải trả người bán > Công ty TNHH Đầu Tư Dầu Khí Hà Nội,Công ty TNHH Đầu Tư Dầu Khí Hà Nội,,2.264.400,,2264400.0
Công ty TNHH Vận Tài Công Nghệ Mai Linh Hà Nội,A.7.24. Phải trả người bán > Công ty TNHH Vận Tài Công Nghệ Mai Linh Hà Nội,Công ty TNHH Vận Tài Công Nghệ Mai Linh Hà Nội,,1.850.000,,1850000.0
Cộng,A.7.24. Phải trả người bán > Cộng,Cộng,1.223.739.036,971.133.640,1223739036.0,971133640.0
"A.7.25. Phải trả, phải nộp khác","A.7.25. Phải trả, phải nộp khác","A.7.25. Phải trả, phải nộp khác",Số cuối năm,Số đầu năm,,
- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn,"A.7.25. Phải trả, phải nộp khác > - Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn",- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn,5.033.376.500,4.369.700.500,5033376500.0,4369700500.0
- Phải trả các Ngân hàng (đặt cọc thực hiện hợp đồng môi giới trái phiếu Chính phủ và các chứng chỉ tiền gửi),"A.7.25. Phải trả, phải nộp khác > - Phải trả các Ngân hàng (đặt cọc thực hiện hợp đồng môi giới trái phiếu Chính phủ và các chứng chỉ tiền gửi)",- Phải trả các Ngân hàng (đặt cọc thực hiện hợp đồng môi giới trái phiếu Chính phủ và các chứng chỉ tiền gửi),501.560.329.003,1.872.874.706,501560329003.0,1872874706.0
Cộng,"A.7.25. Phải trả, phải nộp khác > Cộng",Cộng,506.593.705.503,6.242.575.206,506593705503.0,6242575206.0
