row_label_raw,row_label_full,Items,Codes,Notes,This year,Previous year,numeric__Codes,numeric__Notes,numeric__This year,numeric__Previous year
II. OPERATING EXPENSE,II. OPERATING EXPENSE,II. OPERATING EXPENSE,II. OPERATING EXPENSE,II. OPERATING EXPENSE,II. OPERATING EXPENSE,II. OPERATING EXPENSE,,,,
2.1. Loss from financial assets at Fair Value through Profit and Loss (FVTPL),II. OPERATING EXPENSE > 2.1. Loss from financial assets at Fair Value through Profit and Loss (FVTPL),2.1. Loss from financial assets at Fair Value through Profit and Loss (FVTPL),21,,2.582.928.827,910.110.023,21.0,,2582928827.0,910110023.0
a. Loss from selling financial assets at FVTPL,II. OPERATING EXPENSE > a. Loss from selling financial assets at FVTPL,a. Loss from selling financial assets at FVTPL,21.1,B7.32.1,2.583.295.726,912.095.500,211.0,,2583295726.0,912095500.0
b. Loss from re-evaluation of financial assets at FVTPL (*),II. OPERATING EXPENSE > b. Loss from re-evaluation of financial assets at FVTPL (*),b. Loss from re-evaluation of financial assets at FVTPL (*),21.2,B7.32.2,(366.899),(1.985.477),212.0,,-366899.0,-1985477.0
"2.4. Contingency cost of financial assets, handling losses of bad receivables, impairment of financial assets and costs of loans","II. OPERATING EXPENSE > 2.4. Contingency cost of financial assets, handling losses of bad receivables, impairment of financial assets and costs of loans","2.4. Contingency cost of financial assets, handling losses of bad receivables, impairment of financial assets and costs of loans",24,B7.34,368.502.691.100,178.997.567.556,24.0,,368502691100.0,178997567556.0
2.6. Expenses for business operating,II. OPERATING EXPENSE > 2.6. Expenses for business operating,2.6. Expenses for business operating,26,,838.542.324,416.058.645,26.0,,838542324.0,416058645.0
2.7. Expenses for brokerage services,II. OPERATING EXPENSE > 2.7. Expenses for brokerage services,2.7. Expenses for brokerage services,27,B7.34,187.063.982.170,180.559.800.828,27.0,,187063982170.0,180559800828.0
"2.8. Expenses for activities of guarantee, securities","II. OPERATING EXPENSE > 2.8. Expenses for activities of guarantee, securities","2.8. Expenses for activities of guarantee, securities",28,B7.34,497.064.438,,28.0,,497064438.0,
2.9. Expenses for securities investment consultancy,II. OPERATING EXPENSE > 2.9. Expenses for securities investment consultancy,2.9. Expenses for securities investment consultancy,29,B7.34,17.663.893.732,12.090.861.932,29.0,,17663893732.0,12090861932.0
2.10. Expenses for custody securities,II. OPERATING EXPENSE > 2.10. Expenses for custody securities,2.10. Expenses for custody securities,30,B7.34,23.954.622.477,18.007.016.134,30.0,,23954622477.0,18007016134.0
2.11. Expenses for financial advisory services,II. OPERATING EXPENSE > 2.11. Expenses for financial advisory services,2.11. Expenses for financial advisory services,31,B7.34,18.999.875.238,14.583.323.095,31.0,,18999875238.0,14583323095.0
2.12. Other operating expenses.,II. OPERATING EXPENSE > 2.12. Other operating expenses.,2.12. Other operating expenses.,32,,,,32.0,,,
Total of operating costs (40 = 21->32),II. OPERATING EXPENSE > Total of operating costs (40 = 21->32),Total of operating costs (40 = 21->32),40,,620.103.600.306,405.564.738.213,40.0,,620103600306.0,405564738213.0
