row_label_raw,row_label_full,Bên liên quan > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Số cuối năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Đơn vị tính: VND Số đầu năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Số cuối năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Đơn vị tính: VND Số đầu năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8)
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Góp vốn hợp tác kinh doanh,40.000.000.000,-,,40000000000.0,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi vay phải thu,12.010.868.224,3.000.054.902,,12010868224.0,3000054902.0
Công ty Cổ phần đầu tư Vinatex-Tân tạo,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần đầu tư Vinatex-Tân tạo,Công ty Cổ phần đầu tư Vinatex-Tân tạo,Lãi vay phải thu,530.410.959,-,,530410959.0,
Công ty TNHH Saigontel Long An,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Lãi vay phải thu,193.987.980,-,,193987980.0,
Công ty Cổ phần Đầu tư khu công nghiệp Lê Minh Xuân 2,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Đầu tư khu công nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu tư khu công nghiệp Lê Minh Xuân 2,Lãi vay phải thu,14.904.109,-,,14904109.0,
Ông Đặng Thành Tâm,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Tạm ứng,413.159.059.000,5.100.000.000,,413159059000.0,5100000000.0
Ông Vũ Thanh Dương,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Tạm ứng,346.951.741.000,64.973.840.000,,346951741000.0,64973840000.0
Ông Mai Tuấn Dũng,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Tạm ứng,44.197.143.229,43.085.710.479,,44197143229.0,43085710479.0
Bà Nguyễn Thị Thu Hương,Phải thu ngắn hạn khác (Thuyết minh số 9) > Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tạm ứng,3.489.211.820,3.489.211.820,,3489211820.0,3489211820.0
Ông Vũ Ngọc Ánh,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Vũ Ngọc Ánh,Ông Vũ Ngọc Ánh,Tạm ứng,4.890.000.000,6.290.000.000,,4890000000.0,6290000000.0
Ông Lê Minh Hà,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Lê Minh Hà,Ông Lê Minh Hà,Tạm ứng,1.852.000.000,1.328.000.000,,1852000000.0,1328000000.0
Bà Nguyễn Mỹ Ngọc,Phải thu ngắn hạn khác (Thuyết minh số 9) > Bà Nguyễn Mỹ Ngọc,Bà Nguyễn Mỹ Ngọc,Tạm ứng,136.330.000,136.330.000,,136330000.0,136330000.0
Ông Phan Anh Dũng,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Phan Anh Dũng,Ông Phan Anh Dũng,Tạm ứng,110.000.000,110.000.000,,110000000.0,110000000.0
,,,,867.535.656.321,127.513.147.201,,867535656321.0,127513147201.0
Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Góp vốn hợp tác kinh doanh,-,40.000.000.000,,,40000000000.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Lãi vay phải thu,1.418.219.178,-,,1418219178.0,
,,,,1.418.219.178,40.000.000.000,,1418219178.0,40000000000.0
