row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(1.752.532.103),(12.840.571.656),149.0,,-1752532103.0,-12840571656.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,58.542.166.848,47.129.892.624,150.0,,58542166848.0,47129892624.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,9,15.646.660,32.520.794,151.0,9.0,15646660.0,32520794.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,58.258.273.860,46.863.515.672,152.0,,58258273860.0,46863515672.0
3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,153,15,268.246.328,233.856.158,153.0,15.0,268246328.0,233856158.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,3.463.058.824.017,3.304.481.802.971,200.0,,3463058824017.0,3304481802971.0
I. Tài sản cố định,I. Tài sản cố định,I. Tài sản cố định,220,,25.482.583.899,28.029.305.316,220.0,,25482583899.0,28029305316.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,10,21.962.583.899,24.509.305.316,221.0,10.0,21962583899.0,24509305316.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,31.773.989.140,37.578.852.228,222.0,,31773989140.0,37578852228.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(9.811.405.241),(13.069.546.912),223.0,,-9811405241.0,-13069546912.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,,3.520.000.000,3.520.000.000,227.0,,3520000000.0,3520000000.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,3.520.000.000,3.520.000.000,228.0,,3520000000.0,3520000000.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,-,-,229.0,,,
II. Bất động sản đầu tư,II. Bất động sản đầu tư,II. Bất động sản đầu tư,230,11,207.598.027.239,215.244.816.784,230.0,11.0,207598027239.0,215244816784.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,229.273.003.492,228.635.696.469,231.0,,229273003492.0,228635696469.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(21.674.976.253),(13.390.879.685),232.0,,-21674976253.0,-13390879685.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,14.940.982.947,14.940.982.947,240.0,,14940982947.0,14940982947.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,12,14.940.982.947,14.940.982.947,242.0,12.0,14940982947.0,14940982947.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,5,3.205.135.718.180,3.035.801.167.729,250.0,5.0,3205135718180.0,3035801167729.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,,3.205.135.718.180,3.035.801.167.729,252.0,,3205135718180.0,3035801167729.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,9.901.511.752,10.465.530.195,260.0,,9901511752.0,10465530195.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,9,9.901.511.752,10.465.530.195,261.0,9.0,9901511752.0,10465530195.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,4.265.257.318.196,3.928.805.053.431,270.0,,4265257318196.0,3928805053431.0
