row_label_raw,row_label_full,Lãi hợp tác đầu tư phải trả,col_1,1.218.054.794,10.827.967.123,numeric__col_1,numeric__1.218.054.794,numeric__10.827.967.123
Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty con,277.516.000.000,136.500.000.000,,277516000000.0,136500000000.0
Công ty TNHH Sacom - Chip Sáng,Công ty TNHH Sacom - Chip Sáng,Công ty TNHH Sacom - Chip Sáng,Công ty con,-,20.000.000.000,,,20000000000.0
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,53.000.000.000,70.000.000.000,,53000000000.0,70000000000.0
Ông Trần Văn Hải,Ông Trần Văn Hải,Ông Trần Văn Hải,Cổ đông,-,190.000.000.000,,,190000000000.0
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,-,20.000.000.000,,,20000000000.0
Cho vay,Cho vay,Cho vay,,37.950.000.000,52.730.000.000,,37950000000.0,52730000000.0
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,-,17.730.000.000,,,17730000000.0
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,-,35.000.000.000,,,35000000000.0
Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty liên kết,37.950.000.000,-,,37950000000.0,
Thu lại tiền cho vay,Thu lại tiền cho vay,Thu lại tiền cho vay,,36.100.000.000,52.730.000.000,,36100000000.0,52730000000.0
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,-,17.730.000.000,,,17730000000.0
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,-,35.000.000.000,,,35000000000.0
Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty liên kết,36.100.000.000,-,,36100000000.0,
Chuyển tiền hợp tác đầu tư,Chuyển tiền hợp tác đầu tư,Chuyển tiền hợp tác đầu tư,,-,356.686.800.000,,,356686800000.0
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty con,-,13.585.800.000,,,13585800000.0
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,-,343.101.000.000,,,343101000000.0
Thu hồi tiền hợp tác đầu tư,Thu hồi tiền hợp tác đầu tư,Thu hồi tiền hợp tác đầu tư,,83.750.000.000,343.101.000.000,,83750000000.0,343101000000.0
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,83.750.000.000,-,,83750000000.0,
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,-,343.101.000.000,,,343101000000.0
Lãi hợp tác đầu tư,Lãi hợp tác đầu tư,Lãi hợp tác đầu tư,,10.269.085.105,4.089.226.825,,10269085105.0,4089226825.0
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty con,4.429.567.988,4.089.226.825,,4429567988.0,4089226825.0
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,5.839.517.117,-,,5839517117.0,
Tạm ứng,Tạm ứng,Tạm ứng,,1.401.020.220,770.000.000,,1401020220.0,770000000.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Bên liên quan,1.401.020.220,770.000.000,,1401020220.0,770000000.0
