row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tổng cộng
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,24.667.245.470,27.987.058.668,4.785.538.870,3.321.087.166,60.760.930.174,24667245470.0,27987058668.0,4785538870.0,3321087166.0,60760930174.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(124.946.311.688),(136.455.253.938),(15.928.171.585),(4.355.688.749),(281.685.425.960),-124946311688.0,-136455253938.0,-15928171585.0,-4355688749.0,-281685425960.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,,,,,
Khẩu hao trong năm,Tăng trong năm > Khẩu hao trong năm,Khẩu hao trong năm,(17.451.976.287),(20.151.079.399),(1.888.743.749),(1.252.445.623),(40.744.245.058),-17451976287.0,-20151079399.0,-1888743749.0,-1252445623.0,-40744245058.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,,,,,
Phân loại lại(Thuyết minh số 22),Giảm trong năm > Phân loại lại(Thuyết minh số 22),Phân loại lại(Thuyết minh số 22),51.687.051.819,3.262.280.641,1.812.654.956,2.497.045.388,59.259.032.804,51687051819.0,3262280641.0,1812654956.0,2497045388.0,59259032804.0
Thanh lý,Giảm trong năm > Thanh lý,Thanh lý,-,1.248.060.377,834.266.970,-,2.082.327.347,,1248060377.0,834266970.0,,2082327347.0
Xóa số,Giảm trong năm > Xóa số,Xóa số,98.008.902,74.610.730,-,525.192.797,697.812.429,98008902.0,74610730.0,,525192797.0,697812429.0
Giải thể công ty con,Giảm trong năm > Giải thể công ty con,Giải thể công ty con,1.310.728.097,1.308.399.633,-,78.241.783,2.697.369.513,1310728097.0,1308399633.0,,78241783.0,2697369513.0
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,(89.302.499.157),(150.712.981.956),(15.169.993.408),(2.507.654.404),(257.693.128.925),-89302499157.0,-150712981956.0,-15169993408.0,-2507654404.0,-257693128925.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,268.941.305.735,155.485.171.176,8.046.177.692,9.669.212.815,442.141.867.418,268941305735.0,155485171176.0,8046177692.0,9669212815.0,442141867418.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,126.536.525.624,149.720.138.826,2.705.822.178,1.670.517.409,280.633.004.037,126536525624.0,149720138826.0,2705822178.0,1670517409.0,280633004037.0
