row_label_raw,row_label_full,col_0,1/1/2023Theo báo cáotrước đâyVND,1/1/2023Điều chinhcủa Kiểm toánNhà nướcVND,1/1/2023Đã điều chỉnh lạiVND,numeric__1/1/2023Theo báo cáotrước đâyVND,numeric__1/1/2023Điều chinhcủa Kiểm toánNhà nướcVND,numeric__1/1/2023Đã điều chỉnh lạiVND
Tài sản cố định hữu hình thuêtài chính – Giá trị hao mòn lũy kế,Tài sản cố định hữu hình thuêtài chính – Giá trị hao mòn lũy kế,Tài sản cố định hữu hình thuêtài chính – Giá trị hao mòn lũy kế,(81.085.390.448),1.839.406.308,(79.245.984.140),-81085390448.0,1839406308.0,-79245984140.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,400.637.799.806,3.359.653.538,403.997.453.344,400637799806.0,3359653538.0,403997453344.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(38.162.384.058),(106.483.928.124),(144.646.312.182),-38162384058.0,-106483928124.0,-144646312182.0
Đầu tư nằm giữ đến ngày đáo hạn –dài hạn,Đầu tư nằm giữ đến ngày đáo hạn –dài hạn,Đầu tư nằm giữ đến ngày đáo hạn –dài hạn,4.400.000.000,106.600.000.000,111.000.000.000,4400000000.0,106600000000.0,111000000000.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,321.472.882.909,(972.139.955),320.500.742.954,321472882909.0,-972139955.0,320500742954.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,21.678.762.048,(1.347.335.967),20.331.426.081,21678762048.0,-1347335967.0,20331426081.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,1.204.970.511.850,(2.197.796.919),1.202.772.714.931,1204970511850.0,-2197796919.0,1202772714931.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,85.895.957.054,(438.099.226),85.457.857.828,85895957054.0,-438099226.0,85457857828.0
Thuế và các khoản phải nộpNhà nước,Thuế và các khoản phải nộpNhà nước,Thuế và các khoản phải nộpNhà nước,151.584.430.097,17.033.697.317,168.618.127.414,151584430097.0,17033697317.0,168618127414.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,198.582.753.942,33.847.207.004,232.429.960.946,198582753942.0,33847207004.0,232429960946.0
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,103.928.621.889,(41.455.433.523),62.473.188.366,103928621889.0,-41455433523.0,62473188366.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,73.407.818.622,(3.214.969.305),70.192.849.317,73407818622.0,-3214969305.0,70192849317.0
Lợi nhuận sau thuế chưa phân phối- LNST chưa phân phối năm nay,Lợi nhuận sau thuế chưa phân phối- LNST chưa phân phối năm nay,Lợi nhuận sau thuế chưa phân phối- LNST chưa phân phối năm nay,1.220.650.178.567,6.968.251.113,1.227.618.429.680,1220650178567.0,6968251113.0,1227618429680.0
Lợi nhuận sau thuế chưa phân phối- LNST chưa phân phối năm nay,Lợi nhuận sau thuế chưa phân phối- LNST chưa phân phối năm nay,Lợi nhuận sau thuế chưa phân phối- LNST chưa phân phối năm nay,587.345.236.872,6.968.251.113,594.313.487.985,587345236872.0,6968251113.0,594313487985.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,2.490.330.430.302,(34.519.788.208),2.455.810.642.094,2490330430302.0,-34519788208.0,2455810642094.0
