row_label_raw,row_label_full,col_0,Trong nước,Nước ngoài,VND Tổng cộng,numeric__Trong nước,numeric__Nước ngoài,numeric__VND Tổng cộng
Lợi nhuận thuần trước thuế,Chi phí không phân bổ > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,683.381.126,,,683381126.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,
Lợi nhuận thuần sau thuế,Chi phí thuế TNDN hoãn lại > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,7.325.917.355,,,7325917355.0
Vào ngày 31 tháng 12 năm 2024 (Phân loại lại – Thuyết minh số 35),Vào ngày 31 tháng 12 năm 2024 (Phân loại lại – Thuyết minh số 35),Vào ngày 31 tháng 12 năm 2024 (Phân loại lại – Thuyết minh số 35),Vào ngày 31 tháng 12 năm 2024 (Phân loại lại – Thuyết minh số 35),Vào ngày 31 tháng 12 năm 2024 (Phân loại lại – Thuyết minh số 35),Vào ngày 31 tháng 12 năm 2024 (Phân loại lại – Thuyết minh số 35),,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,
Tài sản không phân bổ,Tài sản và nợ phải trả > Tài sản không phân bổ,Tài sản không phân bổ,,,2.792.446.680.503,,,2792446680503.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,2.792.446.680.503,,,2792446680503.0
Nợ phải trả không phân bổ,Tài sản và nợ phải trả > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,2.392.635.867.269,,,2392635867269.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,2.392.635.867.269,,,2392635867269.0
