row_label_raw,row_label_full,col_0,Trồng cây,Chăn nuôi,Thương mại và dịch vụ,Loại trừ,Ngàn VND Tổng cộng,numeric__Trồng cây,numeric__Chăn nuôi,numeric__Thương mại và dịch vụ,numeric__Loại trừ,numeric__Ngàn VND Tổng cộng
Thu nhập tài chính,"Lỗ trước thuế, doanh thu > Thu nhập tài chính",Thu nhập tài chính,,,,,256.474.243,,,,,256474243.0
Chi phí tài chính,"Lỗ trước thuế, doanh thu > Chi phí tài chính",Chi phí tài chính,,,,,(693.201.444),,,,,-693201444.0
Chia lãi trong công ty liên kết,"Lỗ trước thuế, doanh thu > Chia lãi trong công ty liên kết",Chia lãi trong công ty liên kết,,,,,26.497.251,,,,,26497251.0
Lỗ kế toán trước thuế,"Lỗ trước thuế, doanh thu > Lỗ kế toán trước thuế",Lỗ kế toán trước thuế,,,,,(2.375.087.563),,,,,-2375087563.0
Chi phí thuế TNDN hiện hành,"Lỗ trước thuế, doanh thu > Chi phí thuế TNDN hiện hành",Chi phí thuế TNDN hiện hành,,,,,(795.616),,,,,-795616.0
Chi phí thuế thu nhập hoãn lại,"Lỗ trước thuế, doanh thu > Chi phí thuế thu nhập hoãn lại",Chi phí thuế thu nhập hoãn lại,,,,,(68.518.150),,,,,-68518150.0
Lỗ thuần trong năm,"Lỗ trước thuế, doanh thu > Lỗ thuần trong năm",Lỗ thuần trong năm,,,,,(2.444.401.329),,,,,-2444401329.0
Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,19.831.247.887,-,2.109.795.519,-,21.941.043.406,19831247887.0,,2109795519.0,,21941043406.0
Tiền,Tài sản và nợ phải trả > Tiền,Tiền,,,,,111.485.200,,,,,111485200.0
Đầu tư vào công ty liên kết,Tài sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,315.487.353,,,,,315487353.0
Tài sản không phân bổ,Tài sản và nợ phải trả > Tài sản không phân bổ,Tài sản không phân bổ,,,,,912.473.137,,,,,912473137.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,23.280.489.096,,,,,23280489096.0
Nợ phải trả của bộ phận,Tài sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(15.170.288.266),-,(7.246.306.632),-,(22.416.594.898),-15170288266.0,,-7246306632.0,,-22416594898.0
Nợ phải trả không phân bổ,Tài sản và nợ phải trả > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,8.874.058.422,,,,,8874058422.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,,(13.542.536.476),,,,,-13542536476.0
