row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,6.157.785.421,157.613.962.974,59.607.785.891,7.169.784.622,230.549.318.908,6157785421.0,157613962974.0,59607785891.0,7169784622.0,230549318908.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,400.770.115.800,456.790.101.534,91.214.963.042,7.135.555.780,955.910.736.156,400770115800.0,456790101534.0,91214963042.0,7135555780.0,955910736156.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,62.750.810.186,75.881.115.312,10.436.438.843,184.156.297,149.252.520.638,62750810186.0,75881115312.0,10436438843.0,184156297.0,149252520638.0
- Phân loại từ tài sản thuê tài chính,Giá trị khấu hao lũy kế: > - Phân loại từ tài sản thuê tài chính,- Phân loại từ tài sản thuê tài chính,-,83.874.566.327,-,-,83.874.566.327,,83874566327.0,,,83874566327.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.270.343.194),(156.618.346.581),(627.000.000),(149.927.455),(158.665.617.230),-1270343194.0,-156618346581.0,-627000000.0,-149927455.0,-158665617230.0
- Tài sản điều chuyển cho công ty con (*),Giá trị khấu hao lũy kế: > - Tài sản điều chuyển cho công ty con (*),- Tài sản điều chuyển cho công ty con (*),(12.319.684.560),(406.297.887),-,-,(12.725.982.447),-12319684560.0,-406297887.0,,,-12725982447.0
- Nhận điều chuyển từ công ty con,Giá trị khấu hao lũy kế: > - Nhận điều chuyển từ công ty con,- Nhận điều chuyển từ công ty con,20.479.424.443,-,-,-,20.479.424.443,20479424443.0,,,,20479424443.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,470.410.322.675,459.521.138.705,101.024.401.885,7.169.784.622,1.038.125.647.887,470410322675.0,459521138705.0,101024401885.0,7169784622.0,1038125647887.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,790.927.992.429,567.907.405.069,60.829.741.492,184.156.297,1.419.849.295.287,790927992429.0,567907405069.0,60829741492.0,184156297.0,1419849295287.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,769.923.295.710,438.685.553.760,61.789.097.650,-,1.270.397.947.120,769923295710.0,438685553760.0,61789097650.0,,1270397947120.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Tài sản sử dụng để thế chấp (***),Trong đó: > Tài sản sử dụng để thế chấp (***),Tài sản sử dụng để thế chấp (***),219.360.258.759,291.911.985.712,15.685.391.555,371.417.139,527.329.053.165,219360258759.0,291911985712.0,15685391555.0,371417139.0,527329053165.0
