row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Không chịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Dưới 1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ 1 đến 3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 3 đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 6 đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 1 đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Không chịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Dưới 1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ 1 đến 3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 3 đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 6 đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 1 đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Trên 5 nămTriệu VND
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,,,,,,,,
- VND,- VND,- VND,N/A,N/A,N/A,N/A,N/A,"4,3%-7,2%","0,8%-5,2%","1,1%-8,9%",,,,,,,,
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,,,,,,,,
- VND,- VND,- VND,N/A,N/A,N/A,N/A,N/A,N/A,"2,2%-3,48%","2,2%-3,48%",,,,,,,,
- Ngoại tệ,- Ngoại tệ,- Ngoại tệ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,,,,,,,
- VND,- VND,- VND,N/A,N/A,"3,8%-5,25%",N/A,N/A,N/A,N/A,N/A,,,,,,,,
- Ngoại tệ,- Ngoại tệ,- Ngoại tệ,N/A,N/A,"4,3%-4,83%",N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,,,
- VND,- VND,- VND,N/A,N/A,"0%-0,5%","0,1%-4,75%","2,2%-6,2%","0,1%-7%","2,5%-12,5%","0,1%-9%",,,,,,,,
- Ngoại tệ,- Ngoại tệ,- Ngoại tệ,N/A,N/A,"0%-0,02%","0%-0,05%","0%-0,1%","0%-0,1%","0%-0,12%",N/A,,,,,,,,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,,,,,
- VND,- VND,- VND,N/A,N/A,N/A,"2,8%-4,75%","3,6%-5,6%","3,9%-6,4%","4,6%-9,85%","5,88%-8,97%",,,,,,,,
- Ngoại tệ,- Ngoại tệ,- Ngoại tệ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
