row_label_raw,row_label_full,col_0,Quá hạn,Không địnhlai lãi suất,Lãi suất được định lại trong vòng,Lãi suất được định lại trong vòng_1,Lãi suất được định lại trong vòng_2,Lãi suất được định lại trong vòng_3,Lãi suất được định lại trong vòng_4,Lãi suất được định lại trong vòng_5,Tổng,numeric__Quá hạn,numeric__Không địnhlai lãi suất,numeric__Lãi suất được định lại trong vòng,numeric__Lãi suất được định lại trong vòng_1,numeric__Lãi suất được định lại trong vòng_2,numeric__Lãi suất được định lại trong vòng_3,numeric__Lãi suất được định lại trong vòng_4,numeric__Lãi suất được định lại trong vòng_5,numeric__Tổng
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.370.658,5.476.402,51.204.603,63.000.455,22.711.255,29.288.528,10.061.509,2.866.091,185.979.501,1370658.0,5476402.0,51204603.0,63000455.0,22711255.0,29288528.0,10061509.0,2866091.0,185979501.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi của và vay từ NHNN và TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và TCTD khác,Tiền gửi của và vay từ NHNN và TCTD khác,,,11.930.312,6.706.819,4.301.496,33,4.286.450,,27.225.110,,,11930312.0,6706819.0,4301496.0,33.0,4286450.0,,27225110.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,41.487.721,30.854.575,30.728.047,12.596.523,6.639.045,51.133,122.357.044,,,41487721.0,30854575.0,30728047.0,12596523.0,6639045.0,51133.0,122357044.0
Các công cụ tài chính phải sinh và các công nợtài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các công nợtài chính khác,Các công cụ tài chính phải sinh và các công nợtài chính khác,,2.426,,,,,,,2.426,,2426.0,,,,,,,2426.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chiurủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chiurủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chiurủi ro",,,799,9.903,,,,,10.702,,,799.0,9903.0,,,,,10702.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,6.234,,,130.777,,1.100.000,15.774.080,143.756,17.154.847,6234.0,,,130777.0,,1100000.0,15774080.0,143756.0,17154847.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),,4.351.712,,,,,,,4.351.712,,4351712.0,,,,,,,4351712.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,6.234,4.354.138,53.418.832,37.702.074,35.029.543,13.696.556,26.699.575,194.889,171.101.841,6234.0,4354138.0,53418832.0,37702074.0,35029543.0,13696556.0,26699575.0,194889.0,171101841.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,1.364.424,1.122.264,(2.214.229),25.298.381,(12.318.288),15.591.972,(16.638.066),2.671.202,14.877.660,1364424.0,1122264.0,-2214229.0,25298381.0,-12318288.0,15591972.0,-16638066.0,2671202.0,14877660.0
Mức chênh nhạy cảm với lãi suất ngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất ngoại bảng,Mức chênh nhạy cảm với lãi suất ngoại bảng,,,(50),(346.277),348.369,,,,2.042,,,-50.0,-346277.0,348369.0,,,,2042.0
Tổng mức chênh nhạy cảm với lãi suất,Nợ phải trả > Tổng mức chênh nhạy cảm với lãi suất,Tổng mức chênh nhạy cảm với lãi suất,1.364.424,1.122.264,(2.214.279),24.952.104,(11.969.919),15.591.972,(16.638.066),2.671.202,14.879.702,1364424.0,1122264.0,-2214279.0,24952104.0,-11969919.0,15591972.0,-16638066.0,2671202.0,14879702.0
