row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2023 Triệu đồng,Ngày 31 tháng 12 năm 2022 Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2023 Triệu đồng,numeric__Ngày 31 tháng 12 năm 2022 Triệu đồng
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,7.092.311,5.429.011,12.0,7092311.0,5429011.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,7.207.076,5.470.036,,7207076.0,5470036.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(114.765),(41.025),,-114765.0,-41025.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,,91.681.338,82.465.618,,91681338.0,82465618.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,13.1,87.541.117,82.718.218,131.0,87541117.0,82718218.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,4.350.437,-,132.0,4350437.0,
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,13.3,(210.216),(252.600),133.0,-210216.0,-252600.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",,21.281.747,21.563.780,,21281747.0,21563780.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,14.1,21.418.790,21.418.790,141.0,21418790.0,21418790.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,14.2,189.210,189.210,142.0,189210.0,189210.0
Dự phòng đầu tư dài hạn,TÀI SẢN > Dự phòng đầu tư dài hạn,Dự phòng đầu tư dài hạn,14.3,(326.253),(44.220),143.0,-326253.0,-44220.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,1.569.669,1.465.260,,1569669.0,1465260.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15.1,1.241.980,1.176.376,151.0,1241980.0,1176376.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,2.588.424,2.341.330,,2588424.0,2341330.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(1.346.444),(1.164.954),,-1346444.0,-1164954.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15.2,327.689,288.884,152.0,327689.0,288884.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,1.106.327,949.497,,1106327.0,949497.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(778.638),(660.613),,-778638.0,-660613.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,,46.293.048,47.870.386,,46293048.0,47870386.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,16.1,32.765.611,38.159.910,161.0,32765611.0,38159910.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",16.2,7.778.527,6.975.016,162.0,7778527.0,6975016.0
Tài sản thuế thu nhập doanh nghiệp hoãn lại,TÀI SẢN > Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,23.2,8.153,-,232.0,8153.0,
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.3,5.799.584,2.803.652,163.0,5799584.0,2803652.0
Dự phòng rủi ro cho các tài sản Có nội bảng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nội bảng khác,Dự phòng rủi ro cho các tài sản Có nội bảng khác,16.4,(58.827),(68.192),164.0,-58827.0,-68192.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,775.835.132,588.211.577,,775835132.0,588211577.0
