row_label_raw,row_label_full,2016,Nước ngoàiTriệu VND > 2016,Miền BắcTriệu VND > 2016,Miền TrungTriệu VND > 2016,Miền NamTriệu VND > 2016,Tổng cộngTriệu VND > 2016,numeric__Nước ngoàiTriệu VND > 2016,numeric__Miền BắcTriệu VND > 2016,numeric__Miền TrungTriệu VND > 2016,numeric__Miền NamTriệu VND > 2016,numeric__Tổng cộngTriệu VND > 2016
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,88.471,387.762,246.387,433.819,1.156.439,88471.0,387762.0,246387.0,433819.0,1156439.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,,,,,
Tiền mặt và vàng,Tại ngày 31 tháng 12 năm 2016 > Tiền mặt và vàng,Tiền mặt và vàng,41.746,951.919,88.211,209.818,1.291.694,41746.0,951919.0,88211.0,209818.0,1291694.0
Tiền gửi tại NHNN,Tại ngày 31 tháng 12 năm 2016 > Tiền gửi tại NHNN,Tiền gửi tại NHNN,838.380,1.865.248,7.661,7.468,2.718.757,838380.0,1865248.0,7661.0,7468.0,2718757.0
Tiền gửi và cho vay các TCTD khác,Tại ngày 31 tháng 12 năm 2016 > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,575.023,29.558.448,2.282,669,30.136.422,575023.0,29558448.0,2282.0,669.0,30136422.0
Cho vay khách hàng,Tại ngày 31 tháng 12 năm 2016 > Cho vay khách hàng,Cho vay khách hàng,5.418.798,109.206.683,15.704.015,30.249.304,160.578.800,5418798.0,109206683.0,15704015.0,30249304.0,160578800.0
Đầu tư tài chính,Tại ngày 31 tháng 12 năm 2016 > Đầu tư tài chính,Đầu tư tài chính,-,19.155.049,-,-,19.155.049,,19155049.0,,,19155049.0
Tài sản cố định và bất động sản đầu tư,Tại ngày 31 tháng 12 năm 2016 > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,34.562,3.909.288,10.220,24.797,3.978.867,34562.0,3909288.0,10220.0,24797.0,3978867.0
Tài sản Có khác,Tại ngày 31 tháng 12 năm 2016 > Tài sản Có khác,Tài sản Có khác,255.928,13.477.792,423.218,1.931.213,16.088.151,255928.0,13477792.0,423218.0,1931213.0,16088151.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2016 > Tổng tài sản,Tổng tài sản,7.164.437,178.124.427,16.235.607,32.423.269,233.947.740,7164437.0,178124427.0,16235607.0,32423269.0,233947740.0
Tiền gửi và vay các TCTD khác,Tại ngày 31 tháng 12 năm 2016 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,713.447,35.168.361,4,40,35.881.852,713447.0,35168361.0,4.0,40.0,35881852.0
Tiền gửi của khách hàng,Tại ngày 31 tháng 12 năm 2016 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,764.075,124.571.538,10.602.363,30.638.241,166.576.217,764075.0,124571538.0,10602363.0,30638241.0,166576217.0
Huy động khác,Tại ngày 31 tháng 12 năm 2016 > Huy động khác,Huy động khác,-,13.789.777,782.100,4.685,14.576.562,,13789777.0,782100.0,4685.0,14576562.0
Nợ phải trả khác,Tại ngày 31 tháng 12 năm 2016 > Nợ phải trả khác,Nợ phải trả khác,591.071,2.406.184,217.221,467.060,3.681.536,591071.0,2406184.0,217221.0,467060.0,3681536.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2016 > Tổng nợ phải trả,Tổng nợ phải trả,2.068.593,175.935.860,11.601.688,31.110.026,220.716.167,2068593.0,175935860.0,11601688.0,31110026.0,220716167.0
