row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Đến 1 thángTriệu đồng,numeric__Từ 1 - 3 thángTriệu đồng,numeric__Từ 3 - 6 thángTriệu đồng,numeric__Từ 6 - 12 thángTriệu đồng,numeric__Từ 1 - 5 nămTriệu đồng,numeric__Trên 5 nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.963.002,9.949.883,53.764.044,76.895.870,11.083.156,5.443.221,3.304.847,14.133.002,179.537.025,4963002.0,9949883.0,53764044.0,76895870.0,11083156.0,5443221.0,3304847.0,14133002.0,179537025.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,612,-,-,-,-,-,612,,,612.0,,,,,,612.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,16.321.971,3.977.770,41.887,1.909,1.000.499,-,21.344.036,,,16321971.0,3977770.0,41887.0,1909.0,1000499.0,,21344036.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,28.257.952,22.082.664,41.279.080,26.779.822,6.592.252,1.565,124.993.335,,,28257952.0,22082664.0,41279080.0,26779822.0,6592252.0,1565.0,124993335.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",-,-,3.230,118.500,829.500,-,-,-,951.230,,,3230.0,118500.0,829500.0,,,,951230.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,483.607,3.149.806,3.366.010,4.884.240,300.000,200.000,12.383.663,,,483607.0,3149806.0,3366010.0,4884240.0,300000.0,200000.0,12383663.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,5.256.078,-,-,-,-,-,-,5.256.078,,5256078.0,,,,,,,5256078.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,5.256.078,45.067.372,29.328.740,45.516.477,31.665.971,7.892.751,201.565,164.928.954,,5256078.0,45067372.0,29328740.0,45516477.0,31665971.0,7892751.0,201565.0,164928954.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,4.963.002,4.693.805,8.696.672,47.567.130,(34.433.321),(26.222.750),(4.587.904),13.931.437,14.608.071,4963002.0,4693805.0,8696672.0,47567130.0,-34433321.0,-26222750.0,-4587904.0,13931437.0,14608071.0
